GPCR,STANDARD_VALUE,smiles
P34969,-4,C1CCC(CC1)N2CCN(CC2)CCCCC34CCCC5=C3C(=CC=C5)NC4=O
P34969,-2.503,C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)C(F)(F)F
P34969,-2.62,C1CC2=C(C=CC3=C2C(C1)(C(=O)N3)CCCCN4CCC(=CC4)C5=CC=CC=C5)C(=O)N
P34969,-0.22,C1CC2=CC=CC=C2C(=O)N(C1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F
P34969,-4.303,C1CCC2(C(C1)C3=C(O2)C4=CC=CC=C4C(=C3)NS(=O)(=O)C5=CC=CC=C5)N6CCOCC6
P34969,-3.568,CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC=C3
P34969,-2.629,C1CN(CCC1C2=CC=CC=C2)CCCC(=O)C3=NC4=CC=CC=C4S3
P34969,-2.771,CC1=C(C=C(C=C1)N2CCN(CC2)CCCC(=O)NCC3=NC4=C(C=CC(=C4)F)C(=O)N3C5=CC=CC=C5)C
P34969,-3.458,CC(C)N(C1=CC=CC(=C1)N2CCN(CC2)C)S(=O)(=O)C3=CC=CC4=CC=CC=C43
P34969,-2.176,C1CN(CCN1CCCNS(=O)(=O)C2=CC3=CC=CC=C3S2)C4=NOC5=CC=CC=C54
P34969,-3.427,CC1=CC=CC=C1C(=O)NCC2CCN(CC2)CCOC3=CC=CC(=C3)C4=CC=CC=C4
P34969,-0.553,C1CN(CC2=CC=CC=C21)CCCC(=O)C3=CC=C(C=C3)Cl
P34969,-2.991,COC1=CC=C(C=C1)S(=O)(=O)N(CCCN2CCN(CC2)C3=CC=C(C=C3)F)CC4CCCCC4
P34969,-0.233,C1CN(CCN1CCCCN2C3=CC=CC=C3SC2=O)C4=CC(=CC=C4)Cl
P34969,-1.255,C1=CC=C2C3=C(C=C(C=C3)C(=O)N=C(N)N)C(C2=C1)O
P34969,-2.362,C1CN(CC2=CC=CC=C21)CCC=CCCN3C(=O)CC4=CC=CC=C43
P34969,-1.279,CN1C=C(C=N1)S(=O)(=O)NC2CCN(CC2)CCOC3=CC=CC=C3C4=CC=CC=C4
P34969,-2.301,CC1=C(SC2=C1C=C(C=C2)F)S(=O)(=O)NCCCN3CCN(CC3)C4=NOC5=CC=CC=C54
P34969,-1.699,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC5CCCCC5)OC)OC
P34969,-3.158,C1CN(CC1NS(=O)(=O)C2=CC=CS2)CCOC3=CC(=CC=C3)F
P34969,-3.431,CC(C(=O)C1=CC=CC=C1)N
P34969,-2.083,C1CN(CC1NS(=O)(=O)C2=CC=C(S2)Cl)CCOC3=CC=CC=C3
P34969,-2.274,COC1=CC=CC=C1N2CCN(CC2)CCCN(CC3CC3)S(=O)(=O)C4=CC5=CC=CC=C5C=C4
P34969,-0.505,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CC5=C(C=C4)C=C(C=C5)Cl
P34969,-3.76,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
P34969,-0.991,CN1CCC2=CC=CC3=C2C1CC4=CC=CC(=C43)C5=CC=CC=C5
P34969,-3.234,CC(C)(C)C1=CC=C(C=C1)C2=NC(=NN2C3=CC(=CC=C3)O)CN(C)C
P34969,-2.1,CC1=NC2=C(C=C1)C(=CC=C2)N3CCN(CC3)CCC4=CC(=CC=C4)N5C=CC=N5
P34969,-1.663,CC1(CC(=O)N(C(=O)C1)CCCCN2CCN(CC2)C3=CC=CC(=C3)C(F)(F)F)C
P34969,-2.021,C1CN(CC2=CC=CC=C21)CCCN3C(=O)CC4=CC=CC=C43
P34969,-2.544,C1CN(CC2=CC=CC=C21)CCN3C(=O)CC4=CC=CC=C43
P34969,-3.125,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O
P34969,-1.642,COC1=CC=C(C=C1)C2=CC=CC=C2CNC(=O)CCCCN3CCN(CC3)C4=CC=CC=C4OC
P34969,-2.516,C1CN(CCN1CCCCN2C=NC3=C(C2=O)C=NC4=CC=CC=C43)C5=CC=C(C=C5)Cl
P34969,-3.18,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
P34969,0.398,CC(C1=CC=CC=C1)NC2=NC=CC(=C2)NCCOC3=CC=C(C=C3)F
P34969,-0.474,C1CN(CCN1CCCCCCN2C3=CC=CC=C3SC2=O)C4=CC=CC=C4
P34969,-1.8,C1CC(C2=CC=CC=C2C1)NC(=O)CCCCCN3CCN(CC3)C4=CC=CC=C4O
P34969,-2.524,C1CC1CN(CCCN2CCN(CC2)C3=CC=CC=C3)S(=O)(=O)C4=CC=C(C=C4)C(F)(F)F
P34969,-4.802,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O
P34969,-1.204,C1CCC2=C(C1)C=CC=C2OCCN3CCC(C3)NS(=O)(=O)C4=CC=C(C=C4)F
P34969,-0.6,C1CC2=C3C(=CC=C2)NC(=O)C3(C1)CCCCN4CCN(CC4)C5=CC=CC=C5C#N
P34969,-2.161,CC(C)C1=CC2=C(C=C1)C=CN2CCN3CCCN(CC3)C
P34969,-2.53,CC1=CC(=CC=C1)S(=O)(=O)NCCN=C(N)N2CCN(CC2)C3=CC=CC=C3OC
P34969,-2.674,CCOC(=O)C1=CC(=CC=C1)NC2=NC3(CCCCC3)N=C(N2)N
P34969,-2.685,COC1=CC=CC(=C1)N2CCN(CC2)CCCCN3C=NC4=C(C3=O)C=NC5=CC=CC=C54
P34969,-1.5,CC1CCN(CC1)CCC(C)N(C)S(=O)(=O)C2=CC=CC3=CC=CC=C32
P34969,-1.417,COC1=CC=C(C=C1)CNC(=O)CCCCCN2CCN(CC2)C3=C(C=CC=N3)C4=CC=NC=C4
P34969,-1.8,C1CN(CCN1CCCNC2=CC=CC(=C2)C(=O)N)C3=CC=CC=C3
P34969,-3,CC(C(=O)C1=CC=CC=C1)NC
P34969,-2.903,COC1=CC=CC(=C1)C2=NCCC3=C2NC4=CC=CC=C34
