GPCR,STANDARD_VALUE,smiles
P28223,-2.458,CN1C(=CC=N1)C2=C(C=CC(=C2)NC(=O)C3=CC(=CC=C3)C(F)(F)F)OCCN4CCNC(=O)C4
P28223,0.886,C1CC(=O)NC2=C1C=CC(=N2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
P28223,0.721,CCN(C)CCC1=C(NC2=CC=CC=C21)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
P28223,-1.69,C1CC2=CC=CC=C2C(=O)N(C1)CCN3CCC(CC3)N4C5=C(C=C(C=C5)F)N=N4
P28223,-1.086,CC1=C(C=CC=C1Cl)N2CCN(CC2)CCCNC(=O)C3=C(N(C(=N3)C4=CC=CC=C4)C5=CC=C(C=C5)F)C
P28223,-3.7,CN1C2=C(C(=O)N(C1=O)C)N3CCCC(=O)N(C3=N2)CCCN4CCN(CC4)C5=CC=CC=C5OC
P28223,-2.2,CC1=C(C=C2C(=C1)CCN2C(=O)NC3=CN=C(C=C3)OC4=C(N=CC=C4)C)Cl
P28223,-0.857,C1CN(CCN1CCCCNC(=O)C2=CC3=CC=CC=C3O2)C4=C(C(=CC=C4)Cl)Cl
P28223,-3.364,CC1(CC1)C2=CC3=C(C(=C2)C(F)(F)F)C(=O)N4C3CNCC4
P28223,-0.602,C1CNCC(C1F)C2=C(NC3=C2C=C(C=C3)F)C4=CC=CC=C4
P28223,-2.978,COC1=CC=CC(=C1OC)CCN2C3C4C5CC6C4C2(C7C6C5C73)O
P28223,-2.931,C1CN(CCN1CCCC2=CC=CC=C2)C(=O)OCCC3=CC=C(C=C3)C#N
P28223,-1.531,CN1C=C(C(=N1)C(=O)N2CCN(CC2)CCC3=CC=C(C=C3)Cl)Br
P28223,-0.3,CC1=CC2=C(C=C1)N(C3=C2CN(CC3)C)CCC4=CC=CC=C4
P28223,-1.279,CC1=C(C(=CC=C1)N2CCN(CC2)CCCNC(=O)C3=CN(C(=N3)C4=CC=CC=C4)C5=CC=C(C=C5)OC)C
P28223,-1.3,C1CCN(C1)C2=NC3=C(S2)C(=O)CC(C3)CN4CCC(CC4)C5=NOC6=C5C=CC(=C6)F
P28223,0.222,C1CN(CCN1CCC2=C(C=C(C=C2)F)F)C(=O)C3=NN4C=CC=CC4=C3Cl
P28223,0.222,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCNS(=O)(=O)C4=CC5=C(C=C4)C=C(C=C5)Cl
P28223,-1.845,C1CC(C2=C(C1)C=CC(=N2)N3CCNCC3)OC4=CC=CC=C4Cl
P28223,-1.491,COC1=CC(=C(C=C1)OC)CNCCC2=CC(=C(C=C2OC)Br)OC
P28223,-1.3,CC1=C(C=C2CCN(CCC2=C1)C)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=C(C=C4)Cl
P28223,-0.19,COC(=O)C1=COC2=C1C(=O)CC(C2)CN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
P28223,-2.267,CC1=C(C(=CC=C1)N2CCN(CC2)CC(CNC(=O)C3=C(N(C(=N3)C4=CC=CC=C4)C5=CC=C(C=C5)OC)C)O)C
P28223,-2.24,CC1=CC(=O)OC2=C1C=CC(=C2)OCCCN3CCN(CC3)C4=CC=CC=C4OC
P28223,-2.4,COC1=C(C=C2C(=C1)CCN2C(=O)NC3=CC=CC(=C3Cl)C4=CN=CC=C4)C(F)(F)F
P28223,-1.435,C1CN(CCN1C2=CC=CC=C2)C3=NC4=C(C=NN4)C(=N3)NC5=CC=C(C=C5)F
P28223,-3.5,CC1CCN(CC1)CCC2CCCCC2S(=O)(=O)C3=CC=CC4=CC=CC=C43
P28223,-1.38,CN(C)CCC1=CNC2=C1C(=CC=C2)O
P28223,-2.217,COC1=C(C=C(C=C1)CCN(CCCC2=CC=CC=C2)CCC3=CC4=C(C=C3)OCO4)OC
P28223,-2.2,C1CC2(CC1NCCC(=O)O)CC3=CC=CC=C3CC4=CC=CC=C24
P28223,-1.507,C1CN(CCC1C(C2=CC=C(C=C2)F)O)CCC3=CC=C(C=C3)I
P28223,-2.613,CCCN1C(=C(C=C1C2=CC=CC=C2)C(=O)NCCCN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F)C
P28223,-1.114,CC1=C(N=C(N1C2=CC=C(C=C2)OC)C3=CC=CC=C3)C(=O)NCCCN4CCN(CC4)C5=C(C(=CC=C5)Cl)Cl
P28223,-2.756,CCCCCCOC1=C(C=C2C(=C1)CC3C4=C2C(=C(C=C4CCN3C)OC)OC)OC
P28223,-1.719,CC1=C(C=C(C=C1)OC2=C(C=C(C=C2)F)CNC)C
P28223,-3.829,CN1CCN(CC1)C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=CC=C4OC)OC
P28223,-2.599,C1CC2=CC=CC=C2N(C3=CC=CC=C31)CCCN
P28223,-1.687,CNCC1=C(C=C(C=C1)Cl)OC2=CC(=CC=C2)Cl
P28223,-2.158,CC1=C(C(=CC=C1)N2CCN(CC2)CCCNC(=O)C3=C(N(C(=N3)C)C4=CC=CC=C4OC)C)C
P28223,-3.086,CC1=CC2=C(C=C1)N3CCNCC3NC2=O
P28223,0.495,C1CN(CCC1(F)S(=O)(=O)C2=CC=CC=C2F)CCC3=C(C=C(C=C3)F)F
P28223,-3.033,C1CC(C2C1CNC2)C3=CC(=CC=C3)C(F)(F)F
P28223,-2.465,CC1CC2(CC(=O)C1C3C2C(=O)N(C3=O)CCCN4CCN(CC4)C5=CC=CC=C5)C
P28223,-2.137,COC1=CC=C(C=C1)N2C=C(N=C2C3=CC=CC=C3)C(=O)NCC(CN4CCN(CC4)C5=C(C(=CC=C5)Cl)Cl)O
P28223,-0.8,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CN=C(C=C3)OC)CN4C(=O)C=C(C=N4)N5CCNCC5
P28223,-2.1,C1CC2(CC1N3CCC(CC3)C(=O)O)C4=CC=CC=C4SC5=C(C2=O)C=C(C=C5)F
P28223,-4.006,CC1=CC=C(C=C1)NC2=C3C=C(C=CC3=NC=C2S(=O)(=O)C4=CC=CC=C4)Cl
