GPCR,STANDARD_VALUE,smiles
Q9H228,-1.176,CCC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C(C=C(C=C3)CCC(=O)O)C)C#N
Q9H228,-0.301,C1C(CN1CC2=C(C=C(C=C2)OCC3=CC(=CC=C3)C(F)(F)F)F)C(=O)O
Q9H228,-2.914,CC1=C(C=CC(=C1)CCC(=O)O)C2=NOC(=N2)C3=NC=C(C=C3)C(C(C)C)(F)F
Q9H228,-0.699,C1C(CN1CC2=CC(=C(C=C2)OCC3=CC(=C(C=C3)Cl)Cl)[N+](=O)[O-])C(=O)O
Q9H228,-2.033,CC(C1=CC=CC=C1)OC2=CC=C(C=C2)CN3CC(C3)C(=O)O
Q9H228,-1.7,C1=C(C2=NON=C2C(=C1)[N+](=O)[O-])NCCCCCCCCCCC=CC(C(COP(=O)(O)O)N)O
Q9H228,-0.996,CC1=C(C=CC(=C1)CC(C)C(=O)O)C2=NOC(=N2)C3=CC(=C(C=C3)OC(C)C)C(F)(F)F
Q9H228,-1.362,C1C(CN1CC2=CC=C(C=C2)C3=CC(=C(C=C3)Cl)Cl)C(=O)O
Q9H228,0,CC(C)CC1=CC=C(C=C1)C2=NC(=NO2)C3=CC=C(C=C3)CN4CC(C4)C(=O)O
Q9H228,-0.699,C1C(CN1CC2=CC(=C(C=C2)OCC3=CC(=C(C=C3)Cl)Cl)F)C(=O)O
Q9H228,-1.22,CC1=C2CN(CCC2=NN1C3=NN=C(S3)C4=CC(=C(C=C4)OC(C)C)Cl)CCC(=O)O
Q9H228,-1.681,CCOC1=CC=C(C=C1)C2=NC(=NO2)C3=CC=C(C=C3)CN4CC(C4)C(=O)O
Q9H228,-0.544,CC(COP(=O)(O)O)(C1=NC=C(N1)C2=CC=C(C=C2)OCCCCCC3=CC=CC=C3)N
Q9H228,-1.699,C1C(CNC1C2=CC=C(C=C2)C3=NOC(=N3)C4=CC=C(C=C4)CCC(F)(F)F)CC(=O)O
Q9H228,-1.462,CCCCCCCCC1=CC=C(C=C1)C2=CN=C(N2)C(COP(=S)(O)O)N
Q9H228,0,CCCCCCCCCOC1=CC=C(C=C1)CN2CC(C2)C(=O)O
Q9H228,-1.322,C1C(CN1CC2=CC(=C(C=C2)OCC3=CC(=C(S3)C(F)(F)F)C4=CC=CC=C4)C(F)(F)F)C(=O)O
Q9H228,-0.914,CCCCCCCCC1=CC2=C(C=C1)N=C(N2)C(COP(=O)(O)O)N
Q9H228,-1.875,CCCCCCOC1=CC=C(C=C1)CN2CCC(C2)C(=O)O
Q9H228,-0.602,C1CC(C1)C2=CC=C(C=C2)C3=NC(=NO3)C4=CC=C(C=C4)CN5CC(C5)C(=O)O
Q9H228,-1,CCC1=C(C=CC(=C1)CN2CC(C2)C(=O)O)OCC3=CC(=C(S3)C(F)(F)F)C4=CC=CC=C4
