GPCR,STANDARD_VALUE,smiles
P21453,-1.568,C1=CC=C(C=C1)C2=C(SC(=C2)C3=NC(=NO3)C4=CC(=CC=C4)C(F)(F)F)C(F)(F)F
P21453,0.222,CCC1=CC(=CC(=C1OCC(CNC(=O)CO)O)C)C2=NOC(=N2)C3=CC(=NC(=C3)OC)C4CCCC4
P21453,-2.1,COC1=CC=C(C=C1)N2C=C(N=N2)C3=CC=C(C=C3)CCC(CO)(COP(=O)(O)O)N
P21453,-0.903,CCN1C2=C(C=CC(=C2)C(F)(F)F)N=C1C(C)NS(=O)(=O)C3=CC=CC=C3
P21453,0.398,CCC1=CC(=CC(=C1OCC(CNC(=O)CO)O)C)C2=NOC(=N2)C3=CC(=NC(=C3)NCC)C
P21453,-3.517,CC1=[N+](C2=CC=CC=C2C(=C1)[N+](=O)[O-])[O-]
P21453,-1.934,CCC1=CC(=CC(=C1OCC(CNC(=O)CO)O)C)C2=NOC(=N2)C3=CC(=NC=C3)C
P21453,-1.462,CC(C)C1=CC=C(C=C1)N2C=C(N=N2)C3=CC=C(C=C3)CCC(CO)(COP(=O)(O)O)N
P21453,-0.362,CCCCCCCCCCCCCCNCCCP(=O)(O)O
P21453,-4.633,CC1=NC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C#N
P21453,-3,CCCCN(C1=NN=C(S1)C2=CN=CC=C2)C(=O)C3=CC=CC=C3
P21453,-0.079,CC1=C(C=CC(=C1)C(C(F)(F)F)NC2=CC=CC(=C2)C(C)NCCC(=O)O)Cl
P21453,-1.041,COC1=CC=CC=C1C2=NOC(=N2)C3=CC(=C(C=C3)N4CCCCC4)[N+](=O)[O-]
P21453,-3.724,CC1=CC(=CC(=C1NC(=O)C2=CC=C(O2)C3=C(C=CC(=C3)Cl)Cl)C)O
P21453,-4.533,C1CCCC(CC1)N(C2CCCC2)C(=O)C3=NOC(=C3)C4CC4
P21453,-1.833,C1CN(C2=C1C=C(C=C2)C3=NOC(=N3)C4=CC=C(C=C4)OC(F)(F)F)C(=O)CCC(=O)O
P21453,-4.212,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3CCCN(C3)S(=O)(=O)C4=CC=CC5=C4N=CC=C5)C
P21453,-3.079,CCCCCCCCC1=CC=C(C=C1)NC(=O)C(CCP(=O)(O)O)N
P21453,-0.114,C1CN(C2=C1C=C(C=C2)C3=NOC(=N3)C4=CC(=C(C=C4)C5=CC=CS5)C(F)(F)F)C(=O)CCC(=O)O
P21453,-2.086,COCC1=C(C=NN1C2CCCCC2)C3=NC(=NO3)C4=CC=C(C=C4)COCCCC(=O)O
P21453,0.699,CCC1=CC(=CC(=C1OCC(CNC(=O)CO)O)C)C2=NOC(=N2)C3=NC(=CC(=C3)C)C4CCCC4
P21453,-3.783,C1=CC=C(C=C1)OC2=CC=C(C=C2)S(=O)(=O)NCC3=CN4C=CSC4=N3
P21453,-0.176,CC1=CC(=CC(=C1OCC(CNCC(=O)O)O)C)CCC(=O)C2=C3CC4C(C3=C(S2)C)C4(C)C
P21453,-0.7,CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=CC=CC4=C3NC=C4C(=O)O)Cl
P21453,-0.255,CCC1=C(C=C(C=C1)NC(C2=CC(=C(C=C2)Cl)C)C(F)(F)F)CN3CC(C3)C(=O)O
P21453,-0.309,CC1=CC(=CC(=C1C(=O)N(C)C(CCN(C)C)C(=O)O)C)C2=CC(=CC=C2)NS(=O)(=O)C3=C(C=C(C(=C3)C)Cl)C
P21453,-2.38,CCCCCCCOC1=CC=C(C=C1)CCC(C)(CCC(=O)O)N
P21453,-2.805,C1=CC(=CC=C1CCC(CO)(COP(=O)(O)O)N)C2=CN(N=N2)CC3=CC=C(C=C3)F
P21453,-2.544,CCN(C)C(=O)C(C1=CC=C(C=C1)C2=NOC(=N2)C3=C(C(=NO3)C4=CC=CC=C4)C(F)(F)F)O
P21453,0.7,CCC1=C(C=CC=C1CCCC(=O)O)C2=NOC(=N2)C3=CC(=C(C=C3)OC(C)C)C#N
P21453,-2.258,CN(C(COCC1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3)C(=O)CC4=CN=CN4
P21453,-0.695,CC(COP(=O)(O)O)(C1=NC=C(N1)C2=CC=C(C=C2)OCCC3=CC=C(C=C3)C4=CC=CC=C4)N
P21453,-3.947,C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=NC(=C(O3)NCC4=CN=CC=C4)C#N
P21453,0.921,CC1=C(C=CC(=C1)C(C)CC(=O)O)C2=NOC(=N2)C3=CC(=C(C=C3)OC(C)C)C(F)(F)F
P21453,-3.26,C1=CC(=CC=C1CCC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)F)CCC(CO)(CO)N
P21453,-1.041,COC1=C(C=C(C=C1)C2=NC(=NO2)C3=CC4=C(C=C3)N(CC4)C(=O)CCC(=O)O)Cl
P21453,-3.849,CC1=CC=C(C=C1)CS(=O)(=O)C(=C(C(=O)NC2=CN=C(C=C2)OC)Cl)Cl
P21453,-2.775,CCCCCCCCCCC#CC(C1=CC=CC=C1C2=CC(=C(C=C2)SC3=CC=C(C=C3)OCCCC)S(=O)(=O)[O-])O
P21453,-0.114,CC(C)C1=C(ON=C1C2=NC(=NO2)C3=CC=C(C=C3)CN4CC(C4)C(=O)O)C5=CC=CC=C5
