GPCR,STANDARD_VALUE,smiles
Q96G91,-3.826,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
Q96G91,-4.237,C1C2C1(C(C(C2N3C=NC4=C3N=CN=C4N)O)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O
Q96G91,-4.237,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
Q96G91,-2.978,C1=NC2=C(N1C3C(C(C(O3)COP(=S)(O)OP(=O)(O)O)O)O)N=C(N=C2N)Cl
Q96G91,-3.176,CSC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)OC(=O)C4=CC=CC=C4
Q96G91,-4,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC(=CC=C6)S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N
Q96G91,-4.496,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=S)(O)O)O)O
Q96G91,-3.845,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC3C(C(OC3N4C=NC5=C4N=CN=C5N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Q96G91,-3.477,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)S)O)O
Q96G91,-3.911,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C
Q96G91,-3.23,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
Q96G91,-3.176,CCCSC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O
Q96G91,-3.708,C1=NC2=C(N1C3C(C(C(O3)COP(=S)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(N=C2N)Cl
Q96G91,-3.8,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
Q96G91,-3.322,CSC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=S)(O)OP(=O)(O)O)O)O
Q96G91,-3.954,C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Q96G91,-3,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=S)(O)O)O)O)N=C(N=C2N)Cl
