GPCR,STANDARD_VALUE,smiles
P29274,-2.669,CN1C(=CC2=C1C(=O)N(C(=O)N2C)C)C=CC3=CC4=C(C=C3)OCO4
P29274,-0.491,C1=CC=C(C=C1)S(=O)(=O)CC2=CC=CC=C2CN3C=NC4=C(N=C(N=C43)N)C5=CC=CO5
P29274,-3.944,CC1=NC(=NC2=CC=CC=C12)NC(=NC(=O)C3=CC=CC=C3NC)N
P29274,0.252,CC1=CC(=NN1C2=NC(=CC(=N2)NC(=O)C)C3=NC(=CC=C3)N4CCCCC4)C
P29274,-2.542,C1=CC=C(C=C1)C2=C(SC(=N2)NC(=O)C3=CC=CO3)C(=O)C4=CC=CC=C4
P29274,-3.442,CC1=CC(=CC=C1)N2C=C3C4=CC=CC=C4N=C(C3=N2)NC(=O)C5=CC=CC=C5
P29274,-3.25,CC1=C(C=C(C(=C1)O)C(C)C)NC2=CSC(=O)N2
P29274,-2.107,COC1=CC=C(C=C1)C(=O)NC2=NC(=C(S2)C(=O)C3=CC=CC=N3)C4=CC=CC=C4
P29274,-0.146,C1=CC=C2C=C(C=CC2=C1)CN3C=NC4=C(N=C(N=C43)N)C5=CC=CO5
P29274,-3.386,COCCCN1C2=C(C=C(C=N2)C(=O)N)N=C1NC(=O)C3=CC=CC(=C3)C#N
P29274,-1.968,CC1CN(CCN1CC2=NN3C(=N2)C4=C(C(=CC=C4)OC)N=C3N)C5=CC=NC=C5
P29274,-3.1,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
P29274,-5.124,CC1=NC(=C(C(C1C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC)C
P29274,-1.23,CCCN1C=C2C(=N1)C3=NC(=NN3C(=N2)N)C4=CC=CO4
P29274,-2.989,CC1=CC=C(C=C1)NC2=NC3=C(N=CN=C3S2)N4CCCC4
P29274,-2.246,COC1=CC=C(C=C1)NC(=O)NC2=NC3=NN(C=C3C4=NC(=NN42)C5=CC=CO5)CC=C
P29274,-2.021,C1=CC=C(C=C1)CCCNC2=NC(=C(S2)C(=O)C3=CC=CC=C3)C4=CC=CO4
P29274,-3.695,C1=CC=C(C=C1)CN2C=NC3=C2N=C(N=C3NC4=CC=C(C=C4)N)C5=CC=CC=C5
P29274,-1.447,CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=C(N=C3N)NCCN4CCN(CC4)C5=CC=C(C=C5)Cl)O)O
P29274,-3.994,C1=CC2=C(C(=C1)O)OC(=O)C(=C2)C3=CSC=C3
P29274,-2.083,C1=CC(=CC(=C1)I)CNC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O
P29274,-2.906,COC1=CC(=NC2=C1C(=C(N2)C3=CC=C(C=C3)F)C4=CC=NC=C4)N
P29274,-0.964,CC1=CC(=NN1C2=NC(=CC(=N2)NC3=CC=CC=N3)N4C=CC=N4)C
P29274,-2.758,C1=CC=C(C=C1)CN2C3=C(C(=NC(=N3)C4=CC=CC=C4)NC(=O)C5=CC=CO5)N=N2
P29274,-3.681,C1CC(C1)N2C=NC3=C2N=CN=C3N
P29274,-0.117,C1=COC(=C1)C2=NN3C(=N2)C4=C(N=C3N)N(N=C4)CCC5=CC=C(C=C5)S(=O)(=O)N
P29274,-1.806,CCNC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)C#CC(C4=CC=CC=C4)O
P29274,-1.877,CN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NCC5=CC=C(C=C5)Cl
