GPCR,STANDARD_VALUE,smiles
P28336,-2.568,CC1(CC2=C(C(NC3=C(N2)C=CC(=C3)C(F)(F)F)C4=C(C=CC=C4Cl)F)C(=O)C1)C
P28336,-3.431,C1=CC=C(C=C1)CCNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)OCC4=CN=CN4
P28336,-3.045,C1CCC(CC1)(CNC(=O)C2(CCC3=C(C2)C4=CC=CC=C4N3)NC(=O)NC5=CC=C(C=C5)C(F)(F)F)C6=CC=CC=N6
P28336,-2.447,CC1=CC2=C(C=C1)NC3=C(C(N2)C4=CC=CC=C4Cl)C(=O)CC(C3)(C)C
P28336,-3.041,C1=CC=C(C=C1)CCNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)OCCC4=CNC5=CC=CC=C54
P28336,-3.544,CC(C)CNC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)OCCC3=CNC4=CC=CC=C43
P28336,-3,CCC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Br
P28336,-3.342,CC1(CC2=NC3=C(C=C(C=C3)OC)NC(C2C(=O)C1)C4=C(C=CC=C4Cl)F)C
P28336,-3.672,CC(C)COC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NCCC3=CNC4=CC=CC=C43
P28336,-3.591,CC(C)CCNC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)OCC3=CN=CN3
P28336,-2.415,CC(C)C1=C(C(=CC=C1)C(C)C)N(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NCC4CCCCC4
P28336,0.26,CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CC3=CN=CN3)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CCSC)C(=O)N)NC(=O)C(CC(=O)N)NC(=O)CN
P28336,-2.69,CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)N(C)CC4CCCCC4
P28336,-4,CC1(CC2=C(C(NC3=C(N2)C=CC(=C3)O)C4=C(C=CC=C4Cl)F)C(=O)C1)C
P28336,-3.301,CC1=CC2=C(C=C1)N=C3CC(CC(=O)C3C(N2)C4=C(C=CC=C4Cl)F)C5=CC=C(C=C5)OC
P28336,-1.049,CCCCCC(C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC=N1)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)NC(=O)CNC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCC(=O)N)NC(=O)C5CCCN5C(=O)C(CNCCN)CNCCN
P28336,-3.839,CC1=CC2=C(C=C1)N=C3CC(CC(=O)C3C(N2)C4=CC=CC=C4)(C)C
P28336,-4.267,C1=CC=C(C=C1)CCNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CCC(=O)N)NC(=O)CC4=CC=C(C=C4)Cl
P28336,-2.398,CC1=CC2=C(C=C1)N=C3CC4(CCCC4)CC(=O)C3C(N2)C5=CC=CC=C5SC
P28336,-4,CC1=CC2=C(C=C1)N(C3=C(C(N2)C4=C(C=CC=C4Cl)F)C(=O)CC(C3)(C)C)C
P28336,-3.29,CCCCC(C(=O)N)NC(=O)C(CC1=CC=CC=C1)N=[N+](C(CC2=CN=CN2)NC(=O)CC(C3=CC=C(C=C3)Cl)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(CCC(=O)N)NC(=O)C(CC6=CC=C(C=C6)O)N)N
P28336,-2.845,CC1C2=C(CCC1(C(=O)NCC3(CCCCC3)C4=CC=CC=N4)NC(=O)NC5=C(C=CC=C5C(C)C)C(C)C)NC6=C2C=C(C=C6)C
P28336,-3.301,CC1=CC2=C(C=C1)NC3=C(C(N2)C4=C(C=CC=C4Cl)F)C(=O)CC(C3)C5=CC=C(C=C5)OC
P28336,-2.255,CCN1C(C2=C(CC(CC2=O)(C)C)NC3=C1C=C(C=C3)C)C4=C(C=CC=C4Cl)F
P28336,0.523,CC(CC1=CNC2=CC=CC=C21)(C(=O)NCC3(CCCCC3)C4=CC=C(C=C4)[N+](=O)[O-])NC(=O)NC5=CC=C(C=C5)[N+](=O)[O-]
P28336,-2.903,C1CCC(CC1)(CNC(=O)C2(CCC3=C(C2)C4=CC=CC=C4N3)NC(=O)NC5=CC=C(C=C5)[N+](=O)[O-])C6=CC=CC=N6
P28336,-3.38,CCCCC(C(=O)N)NC(=O)C(CC1=CC=CC=C1)N=[N+](C(CC2=CN=CN2)NC(=O)CC(C3=CC=CC=C3)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(CCC(=O)N)NC(=O)C(CC6=CC=C(C=C6)O)N)N
P28336,0.337,CC(CC1=CNC2=CC=CC=C21)(C(=O)NCC3(CCCCC3)C4=CC=C(C=C4)OC)NC(=O)NC5=CC=C(C=C5)[N+](=O)[O-]
P28336,-0.322,CC(CC1=CNC2=CC=CC=C21)(C(=O)NCC3(CCCCC3)C4=CC=CC=N4)NC(=O)NC5=CC(=C(C=C5)Cl)Cl
P28336,-3.84,CCCCC(C(=O)N)NC(=O)C(CC1=CC=CC=C1)N=[N+](C(CC2=CN=CN2)NC(=O)CC(C3=CC=CC=C3Cl)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(CCC(=O)N)NC(=O)C(CC6=CC=C(C=C6)O)N)N
P28336,-1.906,CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)NC2(CCC3=C(C2)C4=C(N3)C=CC=C4OC)C(=O)NCC5(CCCCC5)C6=CC=CC=N6
P28336,-2.732,CC1=CC2=C(C=C1)NC3=C(C(N2)C4=C(C=CC=C4F)C(F)(F)F)C(=O)CC5(C3)CCCC5
P28336,-0.176,CC(C)C1=CC=C(C=C1)C2(CCCCC2)CNC(=O)C(C)(CC3=CNC4=CC=CC=C43)NC(=O)NC5=CC=C(C=C5)[N+](=O)[O-]
P28336,-3.276,CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)NC2(CCC3=C(C2)C4=C(N3)C=CC=C4OC(F)(F)F)C(=O)NCC5(CCCCC5)C6=CC=CC=N6
P28336,-2.991,C1=CC=C2C(=C1)C(=CN2)CCNC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)OCCC5=CNC6=CC=CC=C65
