GPCR,STANDARD_VALUE,smiles
P35372,-1.716,CN1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2CC(=O)N(C)C(CN3CCCC3)C4=CC=CC=C4)OC)OC
P35372,-3.83,CC(C)C1CCC(CC1)N2CCC3(CC2)C4=C(CNC3=O)C=C(C=C4)F
P35372,-3.312,CN(C)C1=NC2=CC=CC=C2N(C1=O)C3CCN(CC3)C4CCCCCCC4
P35372,-2.661,CC(=O)NCC1(CC2CCC(C1)N2C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)CC5=CC=CC=C5
P35372,-1.763,CC1=CC(=C(C=C1)Cl)OC2(CCCCC2)C(CN3CCC(CC3)N4C5=CC=CC=C5NC4=O)O
P35372,0.509,CC1C2CC3=C(C1(CCN2CC4CC4)C)C=C(C=C3)C(=O)N
P35372,-1.756,CC(CNC(=O)C1(CC2CCC(C1)N2C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)C5=CC=CC=C5)O
P35372,-2.876,CC(C)CNCC1=CC=C(C=C1)C2=CC=CC=C2S(=O)(=O)N3CCC(C3)(F)F
P35372,-2.152,CC1=CC(=CC(=C1CC(C(=O)N2CC3=C(CC2C(=O)O)C=CC(=C3)C4=CSC=C4)N)C)O
P35372,-2.645,CCNCC1(CC2CCC(C1)N2C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)C5=NC(=CC=C5)OC
P35372,-2.568,CC1=C(C=CC(=C1)Cl)N2C3=C(C(=N2)C)C(=O)CC(C3)(C)C
P35372,0.187,CC1(CCC2(C1O)CC34C=CC2(C5C36CCN(C4CC7=C6C(=C(C=C7)O)O5)C)OC)C
P35372,-1.331,C1CNC(=O)CC(NC(=O)C(NC(=O)C(NC1=O)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)C(=O)N
P35372,-0.799,C1CC1CN2CCC34C5C6=C(CC3(C2CC7=C4C(=C(C=C7)O)O5)O)C8=CC=CC=C8N6
P35372,-3.892,COC1=CN=C(N=C1OC2=CC=CC(=C2)C(F)(F)F)C3=CC=CC=N3
P35372,-2.779,C1CC2CC(CC1N2C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)(CN=O)C5=CC=CC=C5
P35372,-3.332,CCCCCC(C1=CC=CC=C1)N2CCC2C(C3=CC(=CC=C3)Cl)N
P35372,-4.966,C1CN(CCN1CC2=CC(=C(C=C2)Cl)Cl)C3=NC=CC=N3
P35372,-2.801,CCN(CC)C(=O)C1=CC=C(C=C1)C(C2=CC=CC3=C2N=CC=C3)N4CCNCC4
P35372,-3.293,CCN(CC)C(=O)C1=CC=C(C=C1)N(C2CCN(CC2)CCC3=CC=CS3)C4=CC(=CC=C4)OC
P35372,-0.752,COC12CCC3(CC1C(C4=CC=CC=C4)O)C5CC6=C7C3(C2OC7=C(C=C6)O)CCN5CC8CC8
P35372,-2.204,C1CCC23CCN(C(C2C1)CC4=CC5=C(C=C34)OC(=O)N5)CC6CC6
P35372,-1.274,CC1=CC(=C(C(=C1)C)CC(C(=O)N)NC(=O)C2CCCN2C(=O)C(CC3=C(C=C(C=C3C)O)C)N)C
P35372,-1.217,CC1CN2CCN(CC2CC1(C)C3=CC(=CC=C3)O)CC4=CC=NC=C4
P35372,0.775,C=C(C(C1=CC=CC=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C4CCN(C4)C(=O)C(CC5=CC=C(C=C5)O)N)C(=O)N
P35372,-2.929,CC1CN(CCC1(C)C2=CC=CC(=C2)C(=O)OC)CCC3=CC=CC=C3
P35372,-1.556,CCCCN(CC1=CC=CC=C1)CC(CN2CN(C3(C2=O)CCN(CC3)CCC4=CC=CC=C4C5=CC=CS5)C6=CC=CC=C6)O
P35372,-1.544,CC1(CCC(C2=CC=CC=C21)N3CCC4(CC3)C(=O)N(CN4C5=CC=CC=C5)CCNC)C
P35372,-1.23,CCNC(=O)C1=CC=C(C=C1)C(=C2CC3CCC(C2)N3CC4=CC=CC=N4)C5=CC=CC=C5
P35372,-2.91,CCC1(CC(CCO1)(CCNCC2=CC=CC=C2O)C3=CC=C(C=C3)F)C
P35372,-2.819,C1C2=C(CN1CCC3=CC=CC=C3)C=C(C=C2)OC4=NC=C(C=C4)C(=O)N
P35372,-1.031,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=CC(=C(C(=C56)O4)O)Br)CC7CC7)OC)O
P35372,-2.929,CC12CCC3C(=O)OC(CC3(C1C(=O)C(CC2C(=O)OC)OC(=O)C4=CC(=CC=C4)OC)C)C5=COC=C5
P35372,-2.408,C1CN(CCC1(C2=CC=CC=C2)O)C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl
P35372,0.022,CN1CCC23CC(=O)CCC2C1CC4=C3C(=C(C=C4)C(=O)N)O
P35372,-1.041,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)OC(=O)CCCCCCCC(=O)OC5=CC6=C(CC7C8C6(CCCC8)CCN7CC9CCC9)C=C5)CC1CCC1
P35372,-3.381,CC(=O)NCC1(CC2CCC(C1)N2C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)C5=CC=C(C=C5)OC
P35372,-3.91,C1=CC(=CC=C1N2C(=CC(=N2)C(=O)O)C3=CC(=C(C=C3)Cl)Cl)F
P35372,-0.491,CCC12CCN(C(C1C)C(=O)C3=C2C=C(C=C3)C(=O)NCCC4=CC=C(C=C4)C5=CC=CC=C5)CC6CC6
P35372,-4.033,COC1=CC(=C(C=C1)N2CCN(CC2)CCCNC(=O)CN3C4=C(C=CC=N4)N5C=CC=C5C3=O)OC
P35372,-0.986,COC1=C2C3=C(CC4C5(C3(CCN4CC6CC6)C(O2)C(=O)CC5)NCC#CC7=CC=C(C=C7)Cl)C=C1
P35372,-1.578,C1CCC2(C1)CC(CCO2)(CCNCC3=CSC=C3)C4=CC=CC=N4
P35372,-3.23,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=CC=C4
P35372,-4.966,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=NC5=C4NC=N5
P35372,-0.863,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NC(CC(=O)O)C(=O)O
P35372,-2.594,CCN(CC)C(=O)C1=CC=C(C=C1)C(=C2CC3CCC(C2)N3CCC4=CC=C(C=C4)F)C5=CC=CC=C5
P35372,-3.25,CC(C1CCCCC1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)CN5CCC(CC5)N
P35372,-0.279,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NC(CC4=CC=C(C=C4)C5=CC=CC=C5)C(=O)O
P35372,-2.672,C1CCN(C1)C2CCC3CN(C2CN3CC4=CC=CC=C4)C(=O)CC5=CC(=C(C=C5)Cl)Cl
P35372,0.046,CN1CCC2(CC3CCCCC3C1C2)C4=CC(=CC=C4)O
P35372,-2.92,CCN(CC)C(=O)C1=CC=C(C=C1)N(C2CCN(CC2)CC3=CC=CC=C3)C4=CC=CC(=C4)CN
P35372,-2.599,CN(C)C(=O)C1CC2=CC=CC=C2N1C(=O)CCN3CCN(CC3)C4=CC=CC=C4
P35372,-1.663,C1CC1CN2CCC34C5C6=C(CC3(C2CC7=C4C(=C(C=C7)C(=O)N)O5)O)C8=CC=CC=C8N6
P35372,-4.631,CCNS(=O)(=O)C1=CC=C(C=C1)NC(=O)NC2=CC3=C(C=C2)OCO3
P35372,-2.881,C1C(CN(C1C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)O)C(=O)C(CC4=CC=C(C=C4)O)N)N
P35372,-2.216,CN(C1CCC2(CCCO2)CC1N3CCCC3)C(=O)CC4=CC(=C(C=C4)Cl)Cl
P35372,-0.681,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)C(=O)N)O5)O)O
P35372,-1.92,CC1=C(C=C(C=C1)OC)OC(CCN2CCC(CC2)N3C4=CC=CC=C4N(C3=O)CC5=NC=CO5)C(C)C
P35372,-3.923,C1CN(CCC1(C2=CC=C(C=C2)C#N)O)C(C3=CC=CC=C3)C4=CC=CC=C4
