GPCR,STANDARD_VALUE,smiles
O00421,-1.342,C1CC(CCC1N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F)(C5=CC=NS5)O
O00421,-2.114,CNC1=C(C=CN=C1)C2CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-1.322,C1CC(CCC1C2=CC=CC=C2C#N)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-0.778,COC1=C(C=CN=C1)C2CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-0.954,C1CC(CCC1C2=NC=C(C=C2)N)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-2.301,CCNC(=O)C1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-1.914,CC1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-1.892,C1CC(=O)N(C1)C2CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-1.748,COC1=CC=CC(=N1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F)O
O00421,-1.279,COC1=NC=C(C=C1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F)O
O00421,-1.431,CC(C)C(C1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F)O
O00421,-2.114,C1CC(CCC1C(F)(F)F)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-0.845,C1CC(CCC1C2=CC=CC=C2O)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-2.591,COC1=CC(=C(C=C1)CNC(=O)C2CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F)OC
O00421,-2.724,C1CC(=O)CCC1N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-2.079,CCOC(=O)CC1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-1.431,CC1=NC=C(S1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F)O
O00421,-0.699,C1CC(CCC1C2=CN=CC=C2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-1.799,C1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-2.342,CC(C)(C)OC(=O)NC1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-1.38,C1CC1C(C2CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F)O
O00421,-1.342,CC(C)C1=NC=C(S1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F)O
O00421,-1.146,CCOCC1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F
O00421,-0.602,C1CC(CCC1C2=C(C=CC=N2)O)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-0.778,C1CC(CCC1C2=NC=C(C=C2)O)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-0.699,C1CC(CCC1C2=CC=CC=N2)N3CC(C3)NC(=O)CNC4=NC=NC5=C4C=C(C=C5)C(F)(F)F
O00421,-1.959,CN(C(=O)C1CCC(CC1)N2CC(C2)NC(=O)CNC3=NC=NC4=C3C=C(C=C4)C(F)(F)F)OC
