GPCR,STANDARD_VALUE,smiles
P51681,-2.114,CCN(CC(CCN1CCC2(CC1)CS(=O)C3=CC=CC=C23)C4=CC(=C(C=C4)Cl)Cl)S(=O)(=O)C5=CC=CC=C5
P51681,-2.699,CCN(C1CCN(CC1)CCC(C2=CC=C(C=C2)S(=O)(=O)C)C3=CC(=CC=C3)C(C)(C)C)C(=O)CC4=CC=C(C=C4)S(=O)(=O)C
P51681,0.222,CC1=C(C=NC=C1)CN(C2CCN(CC2)C(C)CCNC(=O)C3=C(N=C(C=C3C)Cl)C)C4=CC=C(C=C4)OCCOC
P51681,-2.045,C=CCN(C1CCN(CC1)CCC(CN2N=C(N=N2)C3=CC=CC=C3)C4=CC=CC=C4)C(=O)OCC5=CC=C(C=C5)[N+](=O)[O-]
P51681,0.097,CCC(C)C(C(=O)O)N1CC(C(C1)C2=CC(=CC=C2)F)CN3CCC(CC3)C4=CC(=NN4CC)CC5=CC=C(C=C5)C(C)(C)C
P51681,-2.9,CCN(C1CCN(CC1)CCC(C2CCN(CC2)S(=O)(=O)C)C3=CC(=CC=C3)S(=O)(=O)C)C(=O)CC4=CC=C(C=C4)S(=O)(=O)C
P51681,0.076,CC1=NN=C(N1C2CCN(CC2)C(C)CC(C3=CC=CC=C3)NC(=O)C4CCC(CC4)(F)F)C(C)C
P51681,-1.161,CC1CN(CCN1C(C)C2=CC=C(C=C2)Br)C3CCN(CC3)C(=O)C4=C(C=CC=C4C)C
P51681,-4.771,CC(=O)NC1=CC=C(C=C1)CN2CCC(CC2)C3=CC(=C(C=C3)OC)NC(=O)C4=NC=CN=C4
P51681,-1.778,C1CN(CCC1CCCC2=CC=CC=C2)CC3CN(CC3C4=CC=CC=C4)S(=O)(=O)C5=CC=C(S5)C6=CC=CC=N6
P51681,0.398,CCN1C(=CC(=N1)CC2=CC(=C(C=C2)OCC)F)C3CCN(CC3)CC4CN(CC4C5=CC(=CC=C5)F)C(C(C)C)C(=O)O
P51681,-0.079,C1CCC(CC1)C(C(=O)O)N2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)C5=NOC(=C5)CC6=CC=CC=C6
P51681,-4.818,CC(C)OC1=C(C=C(C=C1)C2CCN(CC2)CC3=CC=C(C=C3)[N+](=O)[O-])NC(=O)C4=NC=CN=C4
P51681,-2.246,CC1=NN=C(N1C2CCN(CC2)C(C)CC(C3=CC=CC=C3)NC(=O)N4CCOCC4)C(C)C
P51681,-1.74,CS(=O)(=O)N1CCC(CC1)C(=O)N(CCCN2CCC(CC2)CC3=CC=C(C=C3)C(=O)O)C4=CC(=C(C=C4)Cl)Cl
P51681,-0.833,CC1=CC=C(C=C1)C2=CC3=C(C=C2)OCCC(=C3)C(=O)NC4=CC=C(C=C4)C[N+](C)(C)CCCO
P51681,-1.505,CC(CCN1CCC(CC1)N(CC=C)C(=O)OCC2=CC=CC=C2)(CN3C(=C(NC3=O)CC4=CNC5=CC=CC=C54)O)C6=CC(=CC=C6)Cl
P51681,-1.964,CCCCN1C(=O)C(NC(=O)C12CCN(CC2)CCC3=CC(=CC=C3)OC4=CC=C(C=C4)F)CC5CCCCC5
P51681,-0.556,C=CCN(C1CCN(CC1)CC2CN(CC2(C3=CC=CC=C3)O)C(=O)C4CCCC4)C(=O)CC5=CC=C(C=C5)Cl
P51681,-0.041,CCN1C(=CC(=N1)CC2=CC(=C(C=C2)F)F)C3CCN(CC3)CC4CN(CC4C5=CC(=CC=C5)F)C(C(C)C)C(=O)O
