GPCR,STANDARD_VALUE,smiles
P49019,-2.86,CCCC1=CC(=NN1)C2=NNN=N2
P49019,-1.771,C1=C(C2=C(NC(=O)NC2=O)OC1=O)CCCC(F)F
P49019,-3.53,CC(C)N1C=NC2=C1C=CC(=C2)C(=O)O
P49019,-3.233,CC1(C(=O)C=C(O1)C(=O)O)C2=CSC(=C2)Cl
P49019,-2,CCCCNC1=NC=C(C=C1)C(=O)O
P49019,-2.6,CC(C)N1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-3.48,CCC(CC)N1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-3.255,CC1=CSC(=C1)C2(C(=O)C=C(O2)C(=O)O)C
P49019,-2.15,C1=CSC(=C1)CN(CC2=CSC=C2)C3=NNC(=C3)C(=O)O
P49019,-2.41,CC(C)NC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-2.36,CCNC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-4.88,O=C([O-])c1cccnc1
P49019,-2,C=CCNC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-2.18,CCC(C)NC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-2.49,C1CC(OC1)CNC2=C(C=C(C=C2)C(=O)O)[N+](=O)[O-]
P49019,-2.41,CC(C)(C)N1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-3.708,CC1(C(=O)C=C(O1)C(=O)O)C2=CCCC2
P49019,-3.69,CC1(C(=O)C=C(O1)C(=O)O)C2=CC(=CC=C2)Br
P49019,-2.48,CCSCCN1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-2.431,CC1=CC=C(S1)C2(C(=O)C=C(O2)C(=O)O)C
P49019,-2.51,C1CC1NC2=NC=C(C=C2)C(=O)O
P49019,-3.96,C1=CC=C(C=C1)CN2C3=C(C=C(C=C3)C(=O)O)N=N2
P49019,-3.65,CCC(C)NC1=NNC(=C1)C(=O)O
P49019,-4.38,CC1(C(=O)C=C(O1)C(=O)O)C2=C(C=C(C=C2)F)F
P49019,-4.519,CC1(C(=O)C=C(O1)C(=O)O)C2=CC(=CC(=C2)F)F
P49019,-3.88,CCCCC1=CC(=NN1)C2=NNN=N2
P49019,-2.43,CCC(CC)NC1=NC=C(C=C1)C(=O)O
P49019,-3.28,CNC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-2.8,CCN(CC)C1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-3.708,CC1(C(=O)C=C(O1)C(=O)O)C2=CC(=CC=C2)I
P49019,-3.83,CCCC(C)NC1=NNC(=C1)C(=O)O
P49019,-3.167,CC1(C(=O)C=C(O1)C(=O)O)C2=CSC(=C2)Br
P49019,-2.97,COCCNC1=NC=C(C=C1)C(=O)O
P49019,-4.279,CC1(C(=O)C=C(O1)C(=O)O)C2=CC(=C(C=C2)F)F
P49019,-3.602,CCCCCCC(C(=O)O)O
P49019,-1.71,CCCNC1=NC=C(C=C1)C(=O)O
P49019,-3.623,CC1(C(=O)C=C(O1)C(=O)O)C2=CC=CC=C2
P49019,-1.153,C1=CC=C(C=C1)CN(CC2=CSC=C2)C3=NNC(=C3)C(=O)O
P49019,-3.04,C1CCC(C1)N2C3=C(C=C(C=C3)C(=O)O)N=N2
P49019,-3.75,C1=CC=C(C=C1)CCN(CCC2=CC=CC=C2)C3=NNC(=C3)C(=O)O
P49019,-3.15,CC(COC)NC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-4.09,CCC1=C(C(=NN1)C2=NNN=N2)F
P49019,-2.49,C1CC1NC2=C(C=C(C=C2)C(=O)O)[N+](=O)[O-]
P49019,-2.78,CC(C)NC1=NC=C(C=C1)C(=O)O
P49019,-2.477,C1CC1CCCC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F
P49019,-1.72,CCCN(C)C1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-3.114,CC(C)CCC1=CC(=O)OC2=C1C(=O)NC(=O)N2
P49019,-4.07,CCCCC1=CC(=NN1)C(=O)O
P49019,-3.792,CCC1=CC=CC(=C1)C2(C(=O)C=C(O2)C(=O)O)C
P49019,-1.982,CC1(CC1)CCCC2=CC(=O)OC3=C2C(=O)NC(=O)N3
P49019,-3.3,CN1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-3.996,CC1(C(=O)C=C(O1)C(=O)O)C2=CC=C(C=C2)F
P49019,-2.41,CCOCCN1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-2.58,CCC(C)NC1=NC=C(C=C1)C(=O)O
P49019,-2.2,CCCCNC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-4.519,C1=CC=C(C(=C1)OCCCOC2=NC(=O)C3=C(N2)N=CC=C3)Cl
P49019,-3.31,CN(C)C1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-]
P49019,-2.279,CCCCC1=CC(=O)OC2=C1C(=O)NC(=O)N2
P49019,-0.5,C1=CSC=C1CN(CC2=CSC=C2)C3=NNC(=C3)C(=O)O
P49019,-4.556,CC1(C(=O)C=C(O1)C(=O)O)C2=C(C=CC=C2F)F
P49019,-1.826,C1CC(C1)CCC2=CC(=O)OC3=C2C(=O)NC(=O)N3
P49019,-2.5,COCCN1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-2.93,C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C3=NNC(=C3)C(=O)O
P49019,-3.903,CCCCCC(CC(=O)O)O
P49019,-3.39,C1=CC=C(C=C1)[NH2+]C2=C(C=C(C=C2)C(=O)[O-])[N+](=O)[O-]
P49019,-2.84,CCCCN1C2=C(C=C(C=C2)C(=O)O)N=N1
P49019,-2.146,C1CC1CCCC2=CC(=O)OC3=C2C(=O)NC(=O)N3
