GPCR,STANDARD_VALUE,smiles
Q8TDS4,-4.447,C1CC2=C(CC1C3=CC=CC=C3)C(=NN2)C(=O)O
Q8TDS4,-2.766,C1CC2=C(CC1C3=CC(=CC(=C3F)F)F)C(=NN2)C(=O)O
Q8TDS4,-3.045,C=CC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-2.579,CC1CC(C1)CCC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F
Q8TDS4,-2.643,CCC1=CC(=NN1)C(=O)O
Q8TDS4,-3.724,CC1=CN=C(C=[N+]1[O-])C(=O)O
Q8TDS4,-3.393,COCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-2.633,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC=CC=C4
Q8TDS4,-3.415,CC(C)C1=CC(=NN1)C(=O)O
Q8TDS4,-1.903,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC(=CC(=C4F)F)F
Q8TDS4,-3.949,C1=CC(=CC(=C1)Cl)COC(=O)C=CC(=O)O
Q8TDS4,-3.255,CC1=C(C=NC2=C(C=NN12)C3=CC=C(C=C3)C(C)C)C(=O)NCCOC4=CC=CC=C4F
Q8TDS4,-2.672,CS(=O)(=O)CCCC1=CC(=O)OC2=C1C(=O)NC(=O)N2
Q8TDS4,-2.193,C=CC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-2.77,CC1=C(C=NN1C2=CC=C(C=C2)O)CC(C)C(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-4.561,CC1=NC2=C(C=C1)C=C(C=C2)CCC(=O)NC3=C(CCCC3)C(=O)O
Q8TDS4,-2.869,CC1(C(=O)C=C(O1)C(=O)O)C2=CC(=CS2)Br
Q8TDS4,-3.724,C1=C(C=NC=C1F)C(=O)O
Q8TDS4,-2.859,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC3=CC=CC(=C3)C4=CC=CC(=C4)C#N
Q8TDS4,-4.438,C1CCC(=C(C1)C(=O)O)NC(=O)C=CC2=CC3=CC=CC=C3N=C2Cl
Q8TDS4,-3.431,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC=C(C=C4)F
Q8TDS4,-2.146,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC(=CC=C4)F
Q8TDS4,-1.525,CC(CC1=NN(C=C1)C2=NC=C(C=C2)O)C(=O)NC3=C(CC(CC3)C4=CC(=CC(=C4)F)F)C(=O)O
Q8TDS4,-4.713,C1CCC(=C(C1)C(=O)O)NC(=O)CCC2=CC3=C(C=C2)OCO3
Q8TDS4,-3.492,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)COC3=CC=CC=C3
Q8TDS4,-1.447,C=CCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-1.74,CC(CC1=NN(C=C1)C2=NC=C(C=C2)O)C(=O)NC3=C(CCC(C3)C4=CC(=C(C(=C4)F)F)F)C(=O)O
Q8TDS4,-2.954,CC1=CC(=NN1)C(=O)O
Q8TDS4,-3.398,C1CCC(C1)C2CC3=C(C2)NN=C3C4=NNN=N4
Q8TDS4,-4.61,CC(C)C1=CC(=NN1)C2=NNN=N2
Q8TDS4,-2.832,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=NN(C=C2)C3=NC=C(C=C3)O
Q8TDS4,-2.301,CC1(C(=O)C=C(O1)C(=O)O)C2=CSC(=C2)Cl
Q8TDS4,-4.301,C1CN(CCN1C2=C(C=NC=C2Cl)Cl)C(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-3.279,C1C(CC2=C1C(=NN2)C(=O)O)N3C=CC=N3
Q8TDS4,-2.568,C1=CC(=CC(=C1)F)OCCCOC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-2.513,C1=CC=C(C(=C1)C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O)C(F)(F)F
Q8TDS4,-2.439,CC(C)CCC1=CC(=O)OC2=C1C(=O)NC(=N2)C(F)F
Q8TDS4,-3.785,CC1(C(=O)C=C(O1)C(=O)O)C2=C(C=CC=C2F)F
Q8TDS4,-2.333,CC1CCC(=C(C1)NC(=O)CCC2=NC(=NO2)C3=NC=C(C=C3)F)C(=O)O
Q8TDS4,-4.111,C=CCC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-1.23,CCCCC1=CC(=O)OC2=C1C(=O)NC(=O)N2
Q8TDS4,-3.531,CC1=C(C(=NO1)C)C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-2.903,CC1=CC=CC(=C1)C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-3.322,CCCC1C2=C(CO1)C(=NN2)C(=O)O
Q8TDS4,-3.881,C1=C(C=NC=C1Cl)C(=O)O
Q8TDS4,-2.391,C1CCC(=C(C1)C(=O)O)NC(=O)C(CC2=NC(=NO2)C3=NC=C(C=C3)F)N
Q8TDS4,-2.702,CCC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-2.973,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CC=C(C=C2)C3=CC(=CC=C3)O
Q8TDS4,-2.157,C1CC(=C(CC1C2=CC(=CC=C2)F)C(=O)O)NC(=O)CCC3=NC(=NO3)C4=NC=C(C=C4)F
Q8TDS4,-1.342,CCC#CCOC1=NC2=C(C(=CC(=O)O2)CCC3CCC3)C(=O)N1
Q8TDS4,-2.515,CCC1(CC1)CCCC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F
Q8TDS4,-2.62,CCCCC1=CC(=O)OC2=C1C(=O)NC(=N2)OC
Q8TDS4,-3.451,C1CC2=C(CC1C3=C(N=CC=C3)F)C(=C4N=NN=N4)N=N2
Q8TDS4,-0.602,C1CC1CCCC2=CC(=O)OC3=C2C(=O)NC(=O)N3
Q8TDS4,-3.602,C1C(CC2=C1C(=NN2)C(=O)O)N3C=CN=N3
Q8TDS4,-3.088,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CC=C(C=C2)C3=CC=CN3
Q8TDS4,-3.195,C1=CC2=C(NC(=NC2=O)COCCC3=CC=C(C=C3)F)N=C1
Q8TDS4,-2.224,C1CC(=C(CC1C2=CC(=CC=C2)F)C(=O)O)NC(=O)C(CC3=NC(=NO3)C4=NC=C(C=C4)F)N
Q8TDS4,-4,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCCC3=CC=CC=C3
Q8TDS4,-4.362,C1=CN=NC=C1C(=O)O
Q8TDS4,-2.301,C1C(CC2=C1C(=NN2)C(=O)O)C3=CC=CC=C3
Q8TDS4,-1.653,C1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-3.041,C1=CC2=C(NC(=NC2=O)OCCCOC3=CC=C(C=C3)F)N=C1
Q8TDS4,-3.398,CC1(C(=O)C=C(O1)C(=O)O)C2=CCCC2
Q8TDS4,-2.393,CN1C(=CC=N1)C2CCC(=C(C2)C(=O)O)NC(=O)CCC3=CC4=C(C=C3)C=C(C=C4)O
Q8TDS4,-3.878,C1CN(CCN1C2=NC=CC(=N2)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4C(=O)O
Q8TDS4,-3.398,C1=CC(=CC(=C1)F)CC2=CC(=NN2)C(=O)O
Q8TDS4,-2.279,CC(CC1=NN(C=C1)C2=NC=C(C=C2)O)C(=O)NC3=C(CCCC3)C(=O)O
Q8TDS4,-3.152,C=CCC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-1.312,C1CC(=C(CC1C2=CC(=CC(=C2)F)F)C(=O)O)NC(=O)CCC3=NC(=NO3)C4=NC=C(C=C4)F
Q8TDS4,-3.147,C1CCC(C1)CCC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F
Q8TDS4,-3.556,C1CCC(=C(C1)C(=O)O)NC(=O)C=CC#CC2=CC=CC=C2
Q8TDS4,-2.27,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CN(N=C2)C3=CC=C(C=C3)O
Q8TDS4,-3.633,CC1=CC=C(C=C1)CCOCC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-2.556,CN1C2=C(C=CC(=C2)O)N3C(=C(N=N3)CCC(=O)NC4=CC=CC=C4C(=O)O)C1=O
Q8TDS4,-2.111,CC1=C(C=CC(=C1)O)C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-4.663,CC1(C(=O)C=C(O1)C(=O)O)C2=CC=CO2
Q8TDS4,-2.86,C1CC2=C(CC1C3=C(C=CC(=C3)F)F)C(=NN2)C4=NNN=N4
Q8TDS4,-3.724,C1CC(=C(CC1C#N)C(=O)O)NC(=O)CCC2=CC3=C(C=C2)C=C(C=C3)O
Q8TDS4,-2.964,C1=CC=C(C=C1)CCC(=O)NCC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-3.74,C1=CSC(=C1)C=CC(=O)O
Q8TDS4,-0.845,C1CC1(CCCC2=CC(=O)OC3=C2C(=O)NC(=O)N3)Cl
Q8TDS4,-2.377,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC3=CC=CC=C3C4=CC=CC(=C4)C#N
Q8TDS4,-5.566,C1=C(C=NC=C1O)C(=O)O
Q8TDS4,-1.38,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=C3C=CC4=C(N3N=N2)C=CC(=C4)O
Q8TDS4,-2.628,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC#CC
Q8TDS4,-3.38,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=C(C=C(C=C4)F)F
Q8TDS4,-5.332,C1=CC(=CC(=C1)O)C(=O)O
Q8TDS4,-3.389,CC(C)CC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-4.26,C1CC1C2=CC(=NN2)C3=NNN=N3
Q8TDS4,-3.204,C1=C(C2=C(NC(=O)NC2=O)OC1=O)CC(F)(F)F
Q8TDS4,-2.929,C1CC2=C(CC1C3=C(N=CC=C3)F)C(=NN2)C(=O)O
Q8TDS4,-3.672,CC1=CC=C(C=C1)OCCCOC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-1.447,CCCCCCC1=CC(=O)OC2=C1C(=O)NC(=O)N2
Q8TDS4,-3.785,C1=C(NN=C1C(=O)O)C=O
Q8TDS4,-3.189,CC1=C(C=NN1C2=NC=C(C=C2)O)CC(C)C(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-5.9,CC(CC(=O)O)O
Q8TDS4,-2.691,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=NC=C(S2)C3=NC=C(C=C3)O
Q8TDS4,-3.756,CC1(C(=O)C=C(O1)C(=O)O)C2=CC=CC=C2F
Q8TDS4,-1.82,CCC#CCOC1=NC2=C(C(=CC(=O)O2)CCC(C)C)C(=O)N1
Q8TDS4,-2.441,CC=CC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-3.618,C1CCC(CC1)CCC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F
Q8TDS4,-1.919,C1=CC=C(C(=C1)C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O)F
Q8TDS4,-1,C1=C(C2=C(NC(=O)NC2=O)OC1=O)CCCC(F)(F)F
Q8TDS4,-2.89,C1=C(NN=C1)C(=O)O
Q8TDS4,-1.937,C1CC(=C(CC1C2=C(N=CC=C2)F)C(=O)O)NC(=O)CCC3=CC=C(C=C3)C4=CC=C(C=C4)O
Q8TDS4,-1.982,CCC#CCOC1=NC2=C(C(=CC(=O)O2)CC)C(=O)N1
Q8TDS4,-2.716,CC1(C(=O)C=C(O1)C(=O)O)C2=CC=CC=C2
Q8TDS4,-2.744,CC1=CC=CC=C1C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-2.322,C1C2C1C3=C(C2)C(=NN3)C4=NNN=N4
Q8TDS4,-2.021,C1=CC(=CC=C1CCC(=O)NC2=C(C=CS2)C(=O)O)C3=CC=C(C=C3)O
Q8TDS4,-2.146,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=C(C(=CC=C4)F)F
Q8TDS4,-3.398,CCCCCCOC(=O)C=CC(=O)O
Q8TDS4,-3.94,CCC1C2=C(CO1)C(=NN2)C(=O)O
Q8TDS4,-2.934,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC3=CC(=CC=C3)OC
Q8TDS4,-2.158,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CC3=C(C=C2)C4=C(C=C3)NN=C4
Q8TDS4,-1.954,C1C(CC2=C1C(=NN2)C(=O)O)C3=CSC=C3
Q8TDS4,-2.562,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CC=C(C=C2)C3=CC(=C(C=C3)O)Cl
Q8TDS4,-2.934,CC1=CC(=CC=C1)OCCCOC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-1.5,CCCCCN1C2=C(C(=O)NC1=O)NC(=N2)Cl
Q8TDS4,-3.212,CCCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-2.253,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC#CCCO
Q8TDS4,-3.431,C1C2=C(CO1)NN=C2C(=O)O
Q8TDS4,-1.964,CC1CCC(=C(C1)NC(=O)C(C)CC2=NN(C=C2)C3=NC=C(C=C3)O)C(=O)O
Q8TDS4,-2.114,C1=CC=C(C=C1)OCCCOC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-3.613,C1CCC(=C(C1)C(=O)O)NC(=O)C=CC2=NC3=CC=CC=C3C=C2
Q8TDS4,-2.896,CC(C)C1(CC1)CCCC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F
Q8TDS4,-3.699,CC1(C(=O)C=C(O1)C(=O)O)C2=CC=CS2
Q8TDS4,-3.332,C1CC2=C(CC1C3=C(N=CC=C3)F)C(=NN2)C4=NNN=N4
Q8TDS4,-2.653,CC1=CC=CC=C1OCCCOC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-1.519,C1=CC(=CC(=C1)Cl)OCCCOC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-3,C1=CC=C2C=C(C=CC2=C1)CCCCC(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-4,C1=CC=C(C=C1)CCOC(=O)C=CC(=O)O
Q8TDS4,-2.38,CC1=CC(=CS1)C2(C(=O)C=C(O2)C(=O)O)C
Q8TDS4,-1.806,C1CC(=C(CC1C2=CC(=CC(=C2)F)F)C(=O)O)NC(=O)C(CC3=NC(=NO3)C4=NC=C(C=C4)F)N
Q8TDS4,-1.518,CCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-4.328,CC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-1.665,C1CC1CC2C3C2C4=C(C3)C(=NN4)C(=O)O
Q8TDS4,-2.149,COCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-3.991,C1=CC(=CC(=C1)Br)COC(=O)C=CC(=O)O
Q8TDS4,-3.402,CC1CN(C(CN1C(=O)NC2=CC=CC=C2C(=O)O)C)C3=NC4=CC=CC=C4N=C3
Q8TDS4,-1.996,CCCC1=CC(=O)OC2=C1C(=O)NC(=O)N2
Q8TDS4,-1.146,C1CCC2(C1)C3C2C4=C(C3)C(=NN4)C(=O)O
Q8TDS4,-3.146,C1CCC(=C(C1)C(=O)O)NC(=O)C=CC2=CC3=C(C=C2)C=C(C=C3)O
Q8TDS4,-2.771,C1=CC=C(C=C1)C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-4.146,C1=CC(=CC=C1C=CC(=O)O)O
Q8TDS4,-3.176,C1=C(C=NS1)C(=O)O
Q8TDS4,-3.919,C1CCC(=C(C1)C(=O)O)NC(=O)CCC2=CC3=CC=CC=C3C=C2
Q8TDS4,-2.279,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC3=CC=CC=C3
Q8TDS4,-3.799,C1=CN=C(C=N1)C(=O)O
Q8TDS4,-2.489,CCCCCCC1=CC(=O)OC2=C1C(=O)NC(=N2)C(F)F
Q8TDS4,-3.716,C1=CC(=CC(=C1)Cl)CC2=CC(=NN2)C(=O)O
Q8TDS4,-3.279,CC1=C(C=NC2=C(C=NN12)C3=CC=C(C=C3)C(C)C)C(=O)NC(COC)C4=CC=CC=C4
Q8TDS4,-3.31,CCCC1=CC(=NN1)C(=O)O
Q8TDS4,-2.449,CC(CC1=CN(N=C1)C2=NC=C(C=C2)O)C(=O)NC3=C(CCCC3)C(=O)O
Q8TDS4,-3.279,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC=CC=C4Cl
Q8TDS4,-1.919,CSCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-3.398,C1=C(NN=C1C(=O)O)CO
Q8TDS4,-3.101,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)C(F)(F)F
Q8TDS4,-2.968,CC1=C(C=NC2=C(C=NN12)C3=CC=C(C=C3)C(C)C)C(=O)NCCOC4=CC=CC(=C4)OC
Q8TDS4,-1.248,C1CC(=C(CC1C2=CC(=CC=C2)F)C(=O)O)NC(=O)CCC3=CC4=C(C=C3)C=C(C=C4)O
Q8TDS4,-2.033,C1CC(C1)CCC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F
Q8TDS4,-3.833,C1CCC(=C(C1)C(=O)O)NC(=O)C=CC2=CC3=C(C=C2)OCCO3
Q8TDS4,-3.049,CCCCCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-2.23,CC1=C(C=NC2=C(C=NN12)C3=CC=C(C=C3)C(C)C)C(=O)NC(C)COC4=CC=CC=C4
Q8TDS4,-2.462,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC3=CC(=CC=C3)C(F)(F)F
Q8TDS4,-3.716,C1CC1C2CC3=C(C2)NN=C3C4=NNN=N4
Q8TDS4,-2.769,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC3=C(ON=C3CC)CC
Q8TDS4,-2.362,C1=CC2=C(NC(=NC2=O)OCCCOC3=CC=C(C=C3)Cl)N=C1
Q8TDS4,-3.01,CC1(C2C1C3=C(C2)C(=NN3)C(=O)O)C
Q8TDS4,-3.966,COC1=CC=C(C=C1)OCC(=O)NC2=CC=CC=C2C(=O)O
Q8TDS4,-3.691,C1=CC=C(C=C1)N2C=CC(=N2)CCC(=O)NC3=CC=CC=C3C(=O)O
Q8TDS4,-3.176,COC1=CC=CC(=C1)CCOCC2=NC(=O)C3=C(N2)N=CC=C3
Q8TDS4,-1.845,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC(=CC(=C4)F)F
Q8TDS4,-1.591,C1CC2=C(C=CC(=C2)O)N3C1=CC(=N3)CCC(=O)NC4=CC=CC=C4C(=O)O
Q8TDS4,-1.816,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CN3C4=C(C=C(C=C4)O)SC3=N2
Q8TDS4,-2.934,C1CC2=C(C1)NN=C2C(=O)O
Q8TDS4,-3,C1CC1C2=CC(=NN2)C(=O)O
Q8TDS4,-2.041,CCCCCC1=CC(=NN1)C(=O)O
Q8TDS4,-4.544,CC(C)CNC1=NC=C(C=C1)C(=O)O
Q8TDS4,-3.297,C1CC1C2C3C2C4=C(C3)C(=NN4)C(=O)O
Q8TDS4,-2.441,CCC1C2C1C3=C(C2)C(=NN3)C(=O)O
Q8TDS4,-0.477,C1=C(C2=C(NC(=O)NC2=O)OC1=O)CCCC(F)F
Q8TDS4,-1.531,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC#CC3CC3
Q8TDS4,-2.672,CCC1=CC(=O)OC2=C1C(=O)NC(=S)N2
Q8TDS4,-1.881,C1CCC(=C(C1)C(=O)O)NC(=O)CCC2=CC3=C(C=C2)C=C(C=C3)O
Q8TDS4,-2.458,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CC3=C(C=C2)C=C(C=C3)N
