GPCR,STANDARD_VALUE,smiles
P47871,-1.021,CC(C1=CC=C(C=C1)C(=O)NCCC(=O)O)N2C(=CC(=N2)C3=CC(=C(C=C3)Cl)Cl)C4=CC5=C(C=C4)C=C(C=C5)OC
P47871,-2.102,C1=CC(=CC2=C1C=CC(=C2)OC(F)(F)F)C3=CC(=NN3CC4=CC=C(C=C4)C(=O)NCCC(=O)O)C5=CC(=CC(=C5)Cl)Cl
P47871,-1.265,C1=CC(=CC=C1C2=CC=C(C=C2)Cl)NCC3=C(C=C(C=C3)C(F)(F)F)C4=CN=C(C=C4)C(=O)NCCC(=O)O
P47871,-1.728,C1=CC(=C(C=C1C2=C(C=C(C=C2)NCC3=C(C=C(C=C3)Cl)C4=CN=C(C=C4)C(=O)NCCC(=O)O)F)F)Cl
P47871,-4.633,COC1=C(C=CC(=C1)C(=O)NN=CC2=CC=C(C=C2)OC(F)(F)F)O
P47871,-1.606,CCCOC1=C(C=C(C=C1)C2=CC(=NN2C(C)C3=CC=C(C=C3)C(=O)NCCC(=O)O)C4=CC(=CC(=C4)Cl)Cl)Cl
P47871,-1.097,CC(C1=CC=C(C=C1)C(=O)NCCC(=O)O)N2C(=CC(=N2)C3=CC(=CC(=C3)Cl)Cl)C4=CC5=C(C=C4)C=C(C=C5)C(F)(F)F
P47871,-0.903,C1CCC(CC1)C2=CC=C(C=C2)N(CC3=CC=C(C=C3)C(=O)NCC(C(=O)O)O)C(=O)NC4=CC(=CC=C4)Br
P47871,-1.863,COC1=C(C=CC(=C1)C=NNC(=O)C2=CC(=C(C=C2)O)Cl)NC(=O)COC3=CC=C(C=C3)OC(F)(F)F
P47871,-1.995,C1=CC(=CC=C1C2=C(C=C(C=C2)NCC3=C(C=C(C=C3)F)C4=CN=C(C=C4)C(=O)NCCC(=O)O)F)C(F)(F)F
P47871,-1.425,C1=CC(=C(C=C1C2=C(C=C(C=C2)NCC3=C(C=C(C=C3)C(F)(F)F)C4=CN=C(C=C4)C(=O)NCCC(=O)O)Cl)F)C(F)(F)F
P47871,-0.869,C1=CC=C(C=C1)CC(C(=O)N)NC2=CC=C(C3=CC=CC=C32)C=NNC(=O)C4=CC(=C(C=C4)O)Cl
P47871,-3.681,COC1=C(C=CC(=C1)C(=O)NN=CC2=CC=CC3=CC=CC=C32)O
P47871,-3.792,CC1(N=C(C(=O)N1C(CCC(C)(C)C)C2=CC=C(C=C2)C(=O)NC3=NNN=N3)C4=CC(=CC(=C4)Cl)Cl)C
P47871,-2.478,C1=CC(=CC=C1C2=CC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)Br)Cl
P47871,-2.699,COC1=CC=CC=C1C2=C(NC(=C2)C3=CC=C(C=C3)Cl)C4=CC=NC=C4
