GPCR,STANDARD_VALUE,smiles
Q03431,-3.45,C1CC(=O)N(C1)C2=CC=C(C=C2)C(=O)N(CC3=NN=C(O3)C4=CC=CC=C4Cl)C5CC5
Q03431,-4.7,C1CN(CCN1C2=CC=CC(=C2)C(F)(F)F)C(=O)NC3=CC4=C(C=C3)OCO4
Q03431,-5.05,CCC(C)C(C(=O)NC1=CC=C(C=C1)OCC2=CC=CC=C2)NC(=O)N
Q03431,-4.55,CN1C2=C(C=CC(=C2)NC(=O)N3CCN(CC3)C4=CC=CC=C4)SC5=CC=CC=C5C1=O
Q03431,-5.1,C1=CC=C2C(=C1)C=CC=C2NS(=O)(=O)C3=CC=CS3
Q03431,-4.45,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)COC3=C(N=C(C=C3)C)[N+](=O)[O-]
Q03431,-3.8,CN(CC1=CC(=C(C=C1)OC)OC)C(=O)CC2=CC(=C(C=C2)OC)S(=O)(=O)N3CCOCC3
Q03431,-4.7,CC1CCN(CC1)C(=O)CCC2=NC3=CC=CC=C3N(C2=O)C4=CC=C(C=C4)OC
Q03431,-4.65,COC1=C(C=C(C(=C1)F)C2=CC(=O)CC(C2)C3=CC=C(C=C3)Cl)F
Q03431,-3.8,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCC=C)CC3=CC=C(C=C3)F
Q03431,-4.6,CC(C)OC1=CC=C(C=C1)CNCCC(C2=CC=C(C=C2)OC)C3=CC=CC=C3OC
Q03431,-4.7,C1CC(C2=CC=CC=C2C1)NC(=O)NC3=CC=C(C=C3)Cl
Q03431,-4.7,CN1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)N(C)CC3=CC=C(C=C3)OCC=C)[N+](=O)[O-]
Q03431,-3.95,CC1=CC=C(C=C1)C2=NN3C(=C(SC3=N2)CCNS(=O)(=O)C4=C(C=CC(=C4)F)F)C
Q03431,-4.7,COC1=C(C2=C(CN(C2=O)C3=CC=C(C=C3)F)C=C1)OC
Q03431,-4.5,COC1=C2C(=CC=C1)SC3=C(C2=O)C=CC(=C3)C#CC4(CCCCC4)O
Q03431,-1.85,CCCCOC(=O)CSC1=C(C(C(C(=O)N1)C#N)C2=CC=CC=C2OCC)C#N
Q03431,-4.75,CCOC1=CC=C(C=C1)CNC(=O)C2CC3=C(N2C(=O)C)C=CC(=C3)S(=O)(=O)N4CCCCCC4
Q03431,-3.9,COC1=CC=CC=C1CN2C=CN(C(=O)C2=O)CC3=C(C=CC=C3Cl)F
Q03431,-4.65,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)NC3=CC(=CC=C3)Cl
Q03431,-3.65,C1CCC2=C(C1)C3=C(N=CN=C3S2)N4C5=CC=CC=C5N=N4
Q03431,-5.1,C1=CC=C(C=C1)N2C=C(NC2=S)C3=CC(=CC=C3)[N+](=O)[O-]
Q03431,-3.5,C1=COC(=C1)CNC(=S)NN=CC2=CC=C(C=C2)Cl
Q03431,-4.5,CCOC(=O)C1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)N(C(=O)N3C)C
Q03431,-4.6,CC1=CC(=CC=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)NNC(=O)C3=CC=CC=C3O
Q03431,-4.85,CCN1C=CC2=C(C1=O)C=CC=C2OCC(=O)NC3=C(C=C(C=C3)OC)OC
Q03431,-5.1,CC(C)(C)OC(=O)N1CCCC1C(=O)OCC(=O)NC2=C(C=CC(=C2)S(=O)(=O)C)Cl
Q03431,-3.75,CCOC(=O)N1CCC(CC1)NC2=NC=NC3=C2C=NN3C4=CC=CC=C4
Q03431,-4.45,CCC1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)C(=O)N4CCCCCC4=N3
Q03431,-5,C1CCC(CC1)NC2=C3C(=NOC3=NC=N2)C4=CC=C(C=C4)Cl
Q03431,-4.4,CSC1=CC=C(C=C1)CCNC(=O)C2=CC=C(O2)CS(=O)(=O)C3=CC=C(C=C3)Br
Q03431,-4.5,CC(C1=CC=CC=C1)NC(=O)CSC2=NN=C(N2C)C3=CC4=C(O3)C=CC(=C4)Cl
Q03431,-4.75,C1CN(CCN1CC2=NC(=NO2)C3=CC=C(C=C3)Cl)C4=CC=CC=C4
Q03431,-3.65,CC1=C(C(=NC2=NC(=NN12)SCC(=O)NC3=CC(=CC(=C3)OC)OC)C)CC4=CC=CC=C4
Q03431,-4.95,CCC(C)NC(=O)C1=CN(C2=C(C1=O)C=C(C=C2)S(=O)(=O)N3CCC4=CC=CC=C4C3)CC
Q03431,-4.6,COC1=CC=CC=C1CNC(=O)C2=CC(=C(C=C2)N3CCCC3)NC(=O)NCC4=CC=C(C=C4)F
Q03431,-4.05,CCOC1=CC=CC=C1C2NC(CC(=N2)C3=CC=C(C=C3)OC)C4=CC=CC=C4O
Q03431,-4.65,CC1=CC(=C(C=C1)C)OCC2=CC(=NO2)C(=O)NC3CCN(CC3)CC4=CC=CC=C4
Q03431,-4.8,CC1=CC(=C(C=C1)OC)NC2=NC3=CC=CC=C3C4=NN=C(N42)C
Q03431,-4.7,CCC1=CC=CC=C1S(=O)(=O)CC2=CC=C(O2)C(=O)NCCC3=CC=C(C=C3)Cl
Q03431,-4.6,CC(C)C1=C(C(=NC(=C1C#N)SCC(=O)C2=CC3=CC=CC=C3OC2=O)N)C#N
Q03431,-4.65,CC(C)NC(=O)CC1=C(C=CC2=C1C=CC(=C2)Br)OC
Q03431,-4.15,CC1=C(C=C(C=C1)NC(=O)C2=CN=C(N(C2=O)C)SCC(=O)NCC3CCCO3)C
Q03431,-4.7,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCCCC3)OCC
Q03431,-4.6,CCOC(=O)C1=C(NC(=O)NC1C)COC(=O)C=CC2=CC=C(C=C2)F
Q03431,-4.65,CC(C)(C)C1=NN(C(=C1)C(=O)N2CCCC(C2)C3=CC(=NO3)C(=O)NC4=CC=CC=C4Cl)C
Q03431,-5.15,CSC1=CC=CC(=C1)NC2=NC3=CC=CC=C3C(=C2)C(=O)NC4CCCCC4
Q03431,-5.1,CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)SC3=C(C=CC=C3Cl)Cl
Q03431,-4.6,CN1C2=CC=CC=C2C(=C1SC3=CC=C(C=C3)Cl)C=O
Q03431,-3.75,CC1=CSC(=N1)NC(=O)C2=C(C3=C(O2)C=CC(=C3)OC)C
Q03431,-5.1,CC1=CC(=NN1)C(=O)NN=CC2=CC=CC=N2
Q03431,-4.55,C1CC2=C(N3C(=CC(=N3)C(=O)O)N=C2C4=CC=CC=C41)C(F)(F)F
Q03431,-4.4,CC(C(=O)N(C)CC1=CC=CC=C1)OC(=O)C(=CC2=CC=C(C=C2)N(C)C)C#N
Q03431,-5,CC1=C(OC2=C1C3=NN(C=C3CC2)CC(=O)NCC4=CC=CC=C4F)C(=O)N5CCCC5
Q03431,-4.65,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C(=O)NCC3=CC=CC=N3
