GPCR,STANDARD_VALUE,smiles
O15303,-3.544,CCOC(=O)C1=C(SC(=C1C)C2=CC=CC=C2)N=C=S
O15303,-4,CCOC(=O)C1=C(SC(=C1C)C2=CC=CC=C2)Cl
O15303,-2.427,C=C1CC(C2C1C2C(=O)O)(C(=O)O)N
O15303,-4.914,CC1=C(C(=O)NO1)CCC(C(=O)O)N
O15303,-3.653,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C3=CC=CC=C3)N
O15303,-3.533,C1C(C1(C(=O)O)N)CP(=O)(O)O
O15303,-4.763,CC1=C(C(=O)NO1)CCC(C(=O)O)N
O15303,-3.877,CC1CC(C2C1C2C(=O)O)(C(=O)O)N
O15303,-3.724,C1C2CC(C1C2C(=O)O)(C(=O)O)N
O15303,-2.954,C(CP(=O)(O)O)C(C(=O)[O-])[NH3+]
O15303,-3.968,CC1CC(C2C1C2C(=O)O)(C(=O)O)N
O15303,-5.613,CC1=C(C(=O)NO1)CCCC(C(=O)O)N
O15303,-2.892,C1C(C2C(C2C1(C(=O)O)N)C(=O)O)N=[N+]=[N-]
O15303,-4.025,CC1=C(SC(=C1C(=O)C2=CC=CC=C2)N)C3=CC=CC=C3
O15303,-4.322,CCOC(=O)C1=C(SC(=C1C)C2=CC=CC=C2)N=NC#N
O15303,-4.851,CC1=C(SC(=C1C#N)N)C2=CC=CC=C2
O15303,-4.301,NC(CCC(=O)O)C(=O)[O-]
O15303,-3.934,CCOC(=O)C1=C(SC(=C1C)C2=CC=C(C=C2)OC)N
O15303,-5.041,C1C(NCC1(C(=O)O)N)C(=O)O
O15303,-3.643,C1=CC(=CC=C1C(O)P(=O)(CCC(C(=O)O)N)O)OCC(=O)O
O15303,-2.602,C1C(C2C(C2O1)C(=O)O)(C(=O)O)N
O15303,-3.724,C1C2CC(C1C2C(=O)O)(C(=O)O)N
O15303,-3.431,C(C(C(=O)O)N)OP(=O)(O)O
O15303,-4.58,CCOC(=O)C1=C(SC(=C1C)C2=CC=CC=C2)N=NN(C)C
O15303,-5.045,C1C(C1(C(=O)O)N)CP(=O)(O)O
O15303,-4.072,C1C(C2C(C2C1(C(=O)O)N)C(=O)O)N
O15303,-3.483,C1C(C2C(C2C1(C(=O)O)N)C(=O)O)O
O15303,-5.342,CC1=C(C(=O)NO1)CC(C(=O)[O-])[NH3+]
O15303,-4.732,CCOC(=O)C1=C(SC(=C1C)C2=CC=CC=C2)N=NN3CCOCC3
O15303,-3.813,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
O15303,-3.512,C1C(C2C(C2C1(C(=O)O)N)C(=O)O)SC3=CC=CC=C3
O15303,-3.14,C1C(=O)C2C(C2C1(C(=O)O)N)C(=O)O
O15303,-4.301,C1C(N(CC1(C(=O)O)N)CC2=CC=CC=C2)C(=O)O
