GPCR,STANDARD_VALUE,smiles
P41594,-3.9,C1C(C1C(CN2C=NC3=C2NC(=O)NC3=O)(C(=O)O)N)C(=O)O
P41594,-2.303,C1=CC=NC(=C1)C2=NN(N=N2)C3=CC(=CC(=C3)C4=CN=CN=C4)F
P41594,-1.22,CC1=NC=C(C=C1)NC2=C(C=C(C=N2)C(C3CCCC3)NC(=O)C4=NC=CS4)Cl
P41594,-2.653,C1CC(CC(C1)NC(=O)C2=CC(=CC=C2)Cl)NC(=O)C3=CC=CC=C3
P41594,-1.771,C1CN(CCC2=C1N=CS2)C(=O)C3=NN4C=C(C=NC4=C3)Cl
P41594,-2.146,C1C(CN(C1=O)C2=CC=C(C=C2)Cl)C3=NC(=NO3)C4=CC(=CC=C4)Cl
P41594,-2.539,C1CN2C(=NC(=N2)C3=CC=CC=N3)CN1C4=CC(=CC(=C4)C#N)F
P41594,-1.531,COCCC1=CN(C=N1)C2=NCC(=O)N3CCC4=C(C=CC=C4C3=C2)C5=CSC=N5
P41594,-2.041,C1CN(CCC2=C1N=CS2)C(=O)C3=NN4C=C(C=NC4=C3)Br
P41594,-3.38,C1C(CN1C(=O)C2=CC=C(C=C2)F)C3=NC(=NO3)C4=CC(=CC=C4)F
P41594,-1.875,C1=CC(=CC(=C1)Br)NC(=O)C2=C3C(=CC=C2)OC(=O)N3
P41594,-1.041,COC1=NN(C=N1)C2=NCC(=O)N3CCC4=C(C3=C2)C=CC=C4C5CC5
P41594,-2.955,CCCCC1=NC2=C(C(=O)N1C3=CC=C(C=C3)CC)SC4=NC=CC(=C24)N(C)C
P41594,-2.477,CC1=CC=CC(=C1)C2=NOC(=N2)C3CCCCN3C(=O)C4CCC4
P41594,-2.912,CN(C)C1=C2C3=C(C(=O)N(N=N3)C4CCCCCC4)SC2=NC=C1
P41594,-0.38,CC1=CC=CC(=N1)C#CC2=CC(=NOC)CCC2
P41594,-0.778,CC1=CN=NC(=N1)C#CC2=CC(=CC=C2)Br
P41594,-0.415,C1C2=C(CN1C(=O)C3=CC(=C(C=C3)OC(F)F)C#CC4=CC=CC=N4)N=CC=C2
P41594,-1.444,CCCC(C1=CC(=C(N=C1)NC2=CN=C(C=C2)C)Cl)NC(=O)C3=CC=CC=N3
P41594,-5.59,C1(C(C1C(=O)O)C(=O)O)C(C(=O)O)N
P41594,-2.398,C1=CC=C2C(=C1)C(=O)N(C2=O)CC3=C(C=CC(=C3)Cl)NC(=O)C4=CC=CC=C4O
P41594,-2.58,CN1C=C(N=C1NC(=O)NC2=CC(=CC=C2)Br)O
P41594,-3.32,C1CN2C(=CC(=N2)COC3=CC=CC=C3)C(=O)N1C4=CN=CC=C4
P41594,-1.901,C1CN2C(=CC(=N2)COC3=CC=CC=C3)CN1C(=O)C4=CC(=CC(=C4)F)F
P41594,-1.851,CC1=CC=C(C=C1)N2CCN3C(=CC(=N3)COC4=CC=CC=C4)C2=O
P41594,-2.96,CC1=NC(=CC=C1)NC(=O)C2=NN(C(=C2C)OCC3=CC=C(C=C3)F)C
P41594,-2.476,CN(C1=CN=CC=C1)C2=CN=CC(=C2)NC(=O)C3=CC(=CC=C3)Br
P41594,-2.69,CC1C(=O)N=C(N1C)NC(=O)NC2=CC(=CC=C2)Cl
P41594,-1.7,CC1=CN2C=C(N=C(C2=C1)C#CC3=CC=CC=C3)C
P41594,-2.119,C1=CC(=CC(=C1)Cl)NC(=O)C2=C3C(=CC=C2)OC(=O)N3
P41594,-2.591,C1=CC(=CC(=C1)Cl)NC(=O)C2=NC=CC(=C2)OC3=CN=CC=C3
P41594,-1.653,C1CNC(=O)C2=C1C=C(C=C2)C#CC3=CC=CC=C3
P41594,0.247,C1=CC(=NC=C1F)C2=NC=NC(=C2)C3=CC(=CC(=C3)C#N)Cl
P41594,-2.987,C1COCCN1C(C2=CC=C(C=C2)C#CC3=CC=CC=C3)N4CCOCC4
P41594,-2.301,C1=CC=C(C=C1)C2=NN(C(=C2)NC(=O)C3=CC=CS3)C4=CC=CC=C4
P41594,-4,CN(C)C1=C2C3=C(C(=O)N(C=N3)C4=C(C=C(C=C4)OC)F)SC2=NC=N1
P41594,-1.638,CC1=NC(=CN=C1)C(=O)NC23CCCC(C2)(CC3)NC(=O)C4=CC(=CC=C4)F
P41594,-0.954,COCC1=CN(C=N1)C2=NCC(=O)N3CCC4=C(C3=C2)C=CC=C4C5CCC5
P41594,-1.78,CCN1CCOC2=C1N=CC(=C2)COC3=CC=CC=C3
P41594,0.2,C1=CC(=NC=C1C#N)C2=NC=NC(=C2)C3=CC(=CC(=C3)C#N)Cl
P41594,-2.531,CC1=CC(=NC=C1C2CCCN2C(=O)C3=CN=CC=C3)C4=CC(=CC=C4)Cl
P41594,-1.681,CC1=CC(=CC(=C1)OCC2=CC(=CC=C2)Cl)N(C)C(=O)CC3=C(C=CC=C3F)F
P41594,-1.447,CCC1=CC=CC2=C1CCN3C2=CC(=NCC3=O)N4C=C(N=C4)C(C)C
P41594,-1.23,CC1=CC=C(C=C1)S(=O)(=O)C2=C(C3=CC=CC=C3N=C2)C4=CC=C(C=C4)Cl
P41594,-1,C1CC1C2=CN(C=N2)C3=NCC(=O)N4CCC5=C(C=CC=C5C4=C3)C6=COC=N6
P41594,-1.834,CC1(CC2=C(C=C(C=N2)C#CC3=CC=CC=C3)C(=O)C1)C
P41594,-1.623,CCC(C)NC(=O)C1=NN(C2=C1C=CC(=N2)OCC3=CC=CC(=N3)C)C
P41594,-2.724,C1CC(C1)C(=O)N2CCCC2C3=NC(=NO3)C4=CC(=CC=C4)F
P41594,-3.656,CCC1=CC=C(C=C1)N2C(=NC3=C(C2=O)SC4=NC=CC(=C34)N(C)C)CC
P41594,-3.672,C1=CN=C(C=N1)C2=NOC(=N2)C3=CC(=CC(=C3)C#N)F
P41594,-2.348,COC(=O)C1=CC=CC=C1C2=CC(=CC=C2)N3N=C(N=N3)C4=CC=CC=N4
P41594,-3.037,C1CN(CCN1C2=C(C=C(C=C2)Cl)Cl)C(=O)COCC3=CN=CC=C3
