GPCR,STANDARD_VALUE,smiles
P32249,-0.929,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)Br
P32249,-1.199,CCN1CCN(CC1)C(=O)C=CC2=CC=C(C=C2)Br
P32249,-1.23,COC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)C3=CC=C(C=C3)C(=O)OC
P32249,-3,C1CN(CCN1C(=O)CCCC2=CC=C(C=C2)Br)C(=O)C3=CC=C(C=C3)Cl
P32249,-1.155,CCOC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)Br
P32249,-1.292,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC(=C3)F
P32249,0.208,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)Br)C(=O)C3=CC=CC=C3
P32249,-1.643,CC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)OC)C
P32249,-0.644,C1CCC(C1)C(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)Br
P32249,-1.083,COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)F
P32249,-0.75,CCCCC(=O)N1CCN(CC1)C(=O)C=CC2=CC=C(C=C2)Br
P32249,-1.67,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C=CC3=CC(=C(C=C3)Cl)Cl
P32249,-0.561,COC1=CC(=CC(=C1)CN2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)Br)OC
P32249,-1.991,COC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)C3=CC=C(C=C3)C(F)(F)F
P32249,-1.458,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)F)S(=O)(=O)CC3=CC=CC=C3
P32249,-1.477,CC1=CC=CC(=C1)C(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)OC
P32249,-2.104,CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
P32249,-1.696,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC4=CC=CC=C43
P32249,-0.176,CC1=C(C=CC(=C1)CN2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)Br)F
P32249,-1.334,C1CN(CCN1CC2=CC=C(C=C2)F)C(=O)C=CC3=CC=CC=C3.C(=O)O
P32249,-0.806,CC1=CC(=CC(=C1)CN2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)Br)C
P32249,-0.699,C1COC2=C1C=C(C=C2)C(=O)N3CCN(CC3)C(=O)C=CC4=CC=C(C=C4)Br
P32249,-1.505,COC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)C3=CC=C(C=C3)OC
P32249,-0.322,CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)O)C
P32249,-0.713,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)F)S(=O)(=O)C=CC3=CC=CC=C3
P32249,-1.462,COC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)CC3=CC=CC=C3
P32249,-0.322,CCCCN1CCN(CC1)C(=O)C=CC2=CC=C(C=C2)Br
P32249,-2.871,C1CN(CCN1C(=O)C=CC2=C(C=CC(=C2)Br)F)S(=O)(=O)C3=CC=C(C=C3)Br
