GPCR,STANDARD_VALUE,smiles
P16473,-4.6,C1=CC(=CN=C1)CNC(=O)C2=C(C=CC(=C2)Cl)NC(=O)C3=CC=CO3
P16473,-3.7,C1CC2=CC=CC3=C2N(C1)C(=O)C(=C3O)C(=O)NCC4=CC=CO4
P16473,-4.6,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)C(=O)C3=CC=CO3
P16473,-3.9,CC1=C(SC2=NC(=CN12)C3=CC=CC=C3)C(=O)NCC4=CC=CC=N4
P16473,-4.1,CC1CCN(CC1)S(=O)(=O)CC2=CC=CC=C2Cl
P16473,-3.8,CC1=CC=CC=C1OC2=NN=C(C=C2)OC3=CC=CC=C3C
P16473,-4.5,CCCC1=C(C(=NC(=C1C(=O)SCC)CC)C2=CC=CC=C2)C(=O)OCCC
P16473,-4.5,CCC(=O)NC1=C(N(N=C1C)C(=O)CC)C
P16473,-4.4,CCCCN1C2=C(N=C1SCC3=CN=CC=C3)N(C(=O)N(C2=O)C)C
P16473,-3.5,CC1=CC(=NN1C(=O)C2=CC=C(C=C2)NC(=O)C3COC4=CC=CC=C4O3)C
P16473,-3.7,CC1=CC=CC=C1C2=NC(=C(O2)C)CS(=O)(=O)CC(=O)N(C)C3CCCCC3
P16473,-4.6,CCN1CCCC1CNC(=O)C2=NN(C(=O)C3=C2C4=CC=CC=C4N3C)C5=CC=C(C=C5)C
P16473,-4.5,CCCOC1=CC2=C(C=C1)OC(=O)C3=C2CCCN3C(=O)CN(C)CC4=CC=CC=C4
P16473,-4.3,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)C4=CC=CN5C4=NC6=C(C5=O)C=C(C=C6)Cl
P16473,-4.6,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3C(=C(SC(=C3C#N)N)N)C#N
P16473,-2.679,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=CC(=O)OC5)O)C)O
P16473,-4.6,CCN1C2=CC=CC=C2C(=CC1=O)SCC(=O)N3CCC(CC3)C
P16473,-3,OS(=O)(=O)F
P16473,-4.5,COC1=CC=CC(=C1)C(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CC=C4
P16473,-4.4,COC1=CC=C(C=C1)N2C3=CC=CC=C3N=C2SC4CCOC4=O
P16473,-4.5,C1CCCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)Cl)C(=O)O
P16473,-4.5,CC1=C(C=C(C=C1)C2=NN=C3N2N=C(C4=CC=CC=C43)C)S(=O)(=O)N5CCN(CC5)CCO
P16473,-4.6,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C
P16473,-3.7,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)CCOC
P16473,-4.4,CCC1=C2C=CC=C(C2=NC3=C1CN4C3=CC=CC4=O)C(C)C
P16473,-3.2,CN1C(=NN=C1SCC(=O)NC2CC2)C(F)(F)F
P16473,-3.8,COC1=CC=C(C=C1)C(=O)NCC(=O)NC2=NCCS2
P16473,-3.1,COC1=CC=CC=C1NC(=O)N2CCN(CC2)C3=CC=CC=N3
P16473,-5,C1=CC=C(C=C1)C2NC3=CC=CC=C3C(=O)N2CC4=CC=CO4
P16473,-4.6,CC1=CC=C(C=C1)CN2C3=C(C(=O)N(C=N3)CC(=O)NCCC4=CC(=C(C=C4)OC)OC)N=N2
P16473,-3.8,C1=CC2=C(C=C1F)C=C(N2)C(=O)O
P16473,-4.5,CCCCNC1=NC(=NC2=C1N=C(N2CC(C)(C)CN(C)C)C3=CC=CC=C3)C
P16473,-3.9,C1CC2(CCN(C2)C3=CC=CC=C3)CN(C1)C(=O)C4=CC=CO4
P16473,-4.5,CC1=CC=C(C=C1)N(CC(=O)O)S(=O)(=O)C2=CC=C(C=C2)OC
P16473,-3.2,CC1=CC=C(C=C1)N(C)C
P16473,-3.6,CC1=CC(=CC=C1)N2CCN(CC2)C3=NC(=O)C(=C4CCCCC4)S3
P16473,-3.5,COC1=CC=CC(=C1)NC(=O)C2=C(C3=CC=CC=C3O2)NC(=O)C4=CC5=C(C=C4)OCO5
P16473,-3.1,C1CCC(CC1)N2CCN(CC2)C3=NC4=CC=CC=C4N5C3=NN=N5
P16473,-0.799,CC1=CC=C(C=C1)N2C(=NN=N2)SCC(=O)C3=C(N(C(=C3)C)C4=NOC(=C4)C)C
P16473,-4.6,CCOC(=O)CC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)SC
